restaurant_code,name,city,country,michelin_stars,property_name
rest_0001,Aan de Poel,Amstelveen,Netherlands,2,
rest_0002,ABAC,Barcelona,Spain,3,
rest_0003,Al Gatto Verde,Modena,Italy,1,
rest_0004,Alain Ducasse at The Dorchester,London,United Kingdom,3,
rest_0005,Alma,Oisterwijk,Netherlands,1,
rest_0006,Alto,Fiorano Modenese,Italy,1,
rest_0007,Amarone,Rotterdam,Netherlands,1,
rest_0008,Anne,Paris,France,1,
rest_0009,Apicius,Castricum,Netherlands,1,
rest_0010,Araka,Istanbul,Turkey,2,
rest_0011,Au Coin des Bons Enfants,Maastricht,Netherlands,1,
rest_0012,Beluga loves you,Maastricht,Netherlands,1,
rest_0013,Bistro de la Mer,Amsterdam,Netherlands,1,
rest_0014,Bolenius Rembrandtpark,Amsterdam,Netherlands,1,
rest_0015,Bottiglieria 1881,Krakow,Poland,2,
rest_0016,Bougainville,Amsterdam,Netherlands,1,
rest_0017,Brass Boer Thuis,Zwolle,Netherlands,1,
rest_0018,Brut172,Reijmerstok,Netherlands,2,
rest_0019,Calla's,The Hague,Netherlands,1,
rest_0020,Cavallino,Maranello,Italy,1,
rest_0021,Central Park,Voorburg,Netherlands,1,
rest_0022,Chateau Neercanne,Maastricht,Netherlands,1,
rest_0023,Cheval Blanc,Heemstede,Netherlands,1,
rest_0024,Choux,Amsterdam,Netherlands,1,
rest_0025,Ciel Bleu,Amsterdam,Netherlands,2,
rest_0026,Codium,Goes,Netherlands,1,
rest_0027,Create by Guido Braeken,Eijsden,Netherlands,2,
rest_0028,CUE,Amsterdam,Netherlands,1,
rest_0029,Da Vinci,Maasbracht,Netherlands,1,
rest_0030,De Bokkedoorns,Overveen,Netherlands,2,
rest_0031,De Heeren van Harinxma,Beetsterzwaag,Netherlands,1,
rest_0032,De Juwelier,Amsterdam,Netherlands,1,
rest_0033,De kas,Amsterdam,Netherlands,1,
rest_0034,De Kromme Dissel,Heelsum,Netherlands,1,
rest_0035,De Kromme Watergang,Hoofdplaat,Netherlands,1,
rest_0036,De Leuf,Ubachsberg,Netherlands,1,
rest_0037,De Librije,Zwolle,Netherlands,3,
rest_0038,De Lindenhof,Giethoorn,Netherlands,2,
rest_0039,De Nederlanden,Vreeland,Netherlands,1,
rest_0040,De Nieuwe Winkel,Nijmegen,Netherlands,2,
rest_0041,De Treeswijkhoeve,Waalre,Netherlands,2,
rest_0042,Deessa,Madrid,Spain,2,
rest_0043,Demain,Cadzand,Netherlands,1,
rest_0044,DiverXO,Madrid,Spain,3,
rest_0045,Eleven Madison Park,New York,United States,3,
rest_0046,FG - François Geurds,Rotterdam,Netherlands,2,
rest_0047,Flore,Amsterdam,Netherlands,2,
rest_0048,Fred,Rotterdam,Netherlands,2,
rest_0049,GEM. by Soenil Bahadoer,Gemert,Netherlands,2,
rest_0050,Herberg Onder de Linden,Groningen,Netherlands,1,
rest_0051,Inter Scaldes,Kruiningen,Netherlands,2,
rest_0052,Joelia,Rotterdam,Netherlands,1,
rest_0053,Jungsik New York,New York,United States,3,
rest_0054,Kaatje bij de Sluis,Blokzijl,Netherlands,1,
