id,hotel_code,name,michelin_keys,city,country,country_flag,address,latitude,longitude,google_place_id,michelin_url,website_url,booking_url,google_maps_url,worlds_50_best_rank,worlds_50_best_year
,hotel_17,De L'Europe,3,Amsterdam,Netherlands,🇳🇱,"Nieuwe Doelenstraat 2-14, 1012 CP Amsterdam",52.367511,4.894287,ChIJw0-tDsAJxkcRaW2mhNKHU0Y,https://guide.michelin.com/en/hotels-stays/amsterdam/de-leurope-amsterdam-5293,https://www.deleurope.com/nl/,https://www.deleurope.com/nl/#/booking/step-1?data=('h7hd!'hotel-d-europe'~a6dt*fs.~r7at!2~cn!0~cg.~al4po*co*gp*rn5ry*rk*re.~rr*ss5ax!0~cy*ds!('p6ls*as*st*h6ee1)~my4s6c6ne1)*1~.3]1!null3![4!false~5.)]~6e*7s3('765431.*_,https://www.google.com/maps/place/?q=place_id:ChIJw0-tDsAJxkcRaW2mhNKHU0Y,,
,hotel_23,Hotel Bareiss,3,Baiersbronn,Germany,🇩🇪,"Hermine-Bareiss-Weg 1, 72270 Baiersbronn-Mitteltal",48.520331,8.32685,ChIJjf8eGb0xl0cR5hzBlOJBmvw,,,,https://www.google.com/maps/place/?q=place_id:ChIJjf8eGb0xl0cR5hzBlOJBmvw,,
,hotel_24,Hotel Traube Tonbach,3,Baiersbronn,Germany,🇩🇪,"Tonbachstraße 237, 72270 Baiersbronn-Tonbach",48.536786,8.358176,ChIJ6baryKAxl0cRRfQxSFSfFsE,,,,https://www.google.com/maps/place/?q=place_id:ChIJ6baryKAxl0cRRfQxSFSfFsE,,
,hotel_25,Schloss Elmau Luxury Spa Retreat & Cultural Hideaway,3,Elmau,Germany,🇩🇪,"In Elmau 2, 82493 Krün",47.462056,11.186486,ChIJxUGnqK4InUcRJ3Yzxw1KbB0,,,,https://www.google.com/maps/place/?q=place_id:ChIJxUGnqK4InUcRJ3Yzxw1KbB0,,
,hotel_26,Hotel Vier Jahreszeiten,3,Hamburg,Germany,🇩🇪,"Neuer Jungfernstieg 9-14, 20354 Hamburg",53.555618,9.991549,ChIJ78O2HRmPsUcRRX8fUCLLmbk,,,,https://www.google.com/maps/place/?q=place_id:ChIJ78O2HRmPsUcRRX8fUCLLmbk,,
,hotel_27,The Fontenay,3,Hamburg,Germany,🇩🇪,"Fontenay 10, 20354 Hamburg",53.565408,9.997912,ChIJcV6cGbiPsUcRO_HdHkLGKD0,https://guide.michelin.com/en/hotels-stays/hamburg/the-fontenay-11121,,,https://www.google.com/maps/place/?q=place_id:ChIJcV6cGbiPsUcRO_HdHkLGKD0,,
,hotel_28,Althoff Seehotel Überfahrt,3,Rottach-Egern,Germany,🇩🇪,"Überfahrtstraße 10, 83700 Rottach-Egern",47.696585,11.758432,ChIJXWLwC5WOnUcR21QXmITdpLM,,,,https://www.google.com/maps/place/?q=place_id:ChIJXWLwC5WOnUcR21QXmITdpLM,,
,hotel_29,Rosewood Schloss Fuschl,3,Hof bei Salzburg,Austria,🇦🇹,"Schloss-Straße 19, 5322 Hof bei Salzburg",47.808966,13.255739,ChIJYxvrdmujdkcRHpc6UFfb-kA,,,,https://www.google.com/maps/place/?q=place_id:ChIJYxvrdmujdkcRHpc6UFfb-kA,,
,hotel_30,Hotel Sacher Wien,3,Vienna,Austria,🇦🇹,"Philharmonikerstraße 4, 1010 Wien",48.204001,16.369796,ChIJI85wbpwHbUcRiJL_xm_zLE4,,,,https://www.google.com/maps/place/?q=place_id:ChIJI85wbpwHbUcRiJL_xm_zLE4,,
,hotel_49,Grand Resort Bad Ragaz,3,Bad Ragaz,Switzerland,🇨🇭,"Bernhard-Simonstrasse 20, 7310 Bad Ragaz",47.000427,9.50371,ChIJSSCOWonLhEcRTqwr1k7lj5k,,,,https://www.google.com/maps/place/?q=place_id:ChIJSSCOWonLhEcRTqwr1k7lj5k,,
,hotel_50,Hotel Les Trois Rois,3,Basel,Switzerland,🇨🇭,"Blumenrain 8, 4001 Basel",47.560439,7.587647,ChIJ9TTWPK-5kUcR-w9C3b0WDKs,,,,https://www.google.com/maps/place/?q=place_id:ChIJ9TTWPK-5kUcR-w9C3b0WDKs,,
,hotel_51,Bürgenstock Resort,3,Bürgenstock,Switzerland,🇨🇭,"Bürgenstock Resort, 6363 Obbürgen",46.996748,8.379181,ChIJOdaL69H5j0cRaFE99l6D5lw,,,,https://www.google.com/maps/place/?q=place_id:ChIJOdaL69H5j0cRaFE99l6D5lw,,
,hotel_52,Beau-Rivage Geneva,3,Geneva,Switzerland,🇨🇭,"Quai du Mont-Blanc 13, 1201 Genève",46.209019,6.149653,ChIJk08TrSVljEcRmdCl-hFxZnw,,,,https://www.google.com/maps/place/?q=place_id:ChIJk08TrSVljEcRmdCl-hFxZnw,,
,hotel_53,"The Woodward, Auberge Collection",3,Geneva,Switzerland,🇨🇭,"Quai Wilson 37, 1201 Genève",46.212132,6.152266,ChIJ6Zr4LyFljEcRuVw8qYnRctQ,https://guide.michelin.com/en/hotels-stays/geneva/the-woodward-auberge-collection-12243,,,https://www.google.com/maps/place/?q=place_id:ChIJ6Zr4LyFljEcRuVw8qYnRctQ,,
,hotel_54,The Alpina Gstaad,3,Gstaad,Switzerland,🇨🇭,"Alpinastrasse 23, 3780 Gstaad",46.475959,7.288417,ChIJGTA3fqnxjkcROrRsX7FCekA,https://guide.michelin.com/en/hotels-stays/gstaad/the-alpina-gstaad-7179,,,https://www.google.com/maps/place/?q=place_id:ChIJGTA3fqnxjkcROrRsX7FCekA,,
,hotel_55,Badrutt's Palace Hotel,3,St. Moritz,Switzerland,🇨🇭,"Via Serlas 27, 7500 St. Moritz",46.497588,9.841159,ChIJzQkBFcB9g0cRnROITY83uLk,https://guide.michelin.com/en/hotels-stays/st-moritz/badrutts-palace-hotel-7322,,,https://www.google.com/maps/place/?q=place_id:ChIJzQkBFcB9g0cRnROITY83uLk,,
,hotel_56,Carlton Hotel St. Moritz,3,St. Moritz,Switzerland,🇨🇭,"Via Johannes Badrutt 11, 7500 St. Moritz",46.499904,9.846402,ChIJFZ0j07h9g0cRPSaha6nRsbc,,,,https://www.google.com/maps/place/?q=place_id:ChIJFZ0j07h9g0cRPSaha6nRsbc,,
,hotel_57,Baur au Lac,3,Zurich,Switzerland,🇨🇭,"Talstrasse 1, 8001 Zürich",47.367301,8.539371,ChIJZcrzZBcLkEcROaEB21geaZk,,,,https://www.google.com/maps/place/?q=place_id:ChIJZcrzZBcLkEcROaEB21geaZk,,
,hotel_186,"Raffles Hotel, Singapore",3,Singapore,Singapore,🇸🇬,"1 Beach Road, Singapore 189673",1.294889,103.854483,ChIJwUTKu6UZ2jERwt5ctkU4f2Q,,,,https://www.google.com/maps/place/?q=place_id:ChIJwUTKu6UZ2jERwt5ctkU4f2Q,,
,hotel_193,Hôtel de Paris Monte-Carlo,3,Monte Carlo,Monaco,🇲🇨,"Place du Casino, 98000 Monaco",43.739005,7.427464,ChIJFY1s1ofCzRIRtwOFQihi098,,,,https://www.google.com/maps/place/?q=place_id:ChIJFY1s1ofCzRIRtwOFQihi098,,
,hotel_259,Villa Nai 3.3,3,Dugi Otok,Croatia,🇭🇷,"Žman 199, 23282 Žman",43.962414,15.121972,ChIJR6irdcmrNBMRtfeOGp0QK7s,,,,https://www.google.com/maps/place/?q=place_id:ChIJR6irdcmrNBMRtfeOGp0QK7s,,
,hotel_320,Il San Pietro di Positano,3,Positano,Italy,🇮🇹,"Via Laurito 2, 84017 Positano SA",40.62323,14.503838,ChIJefAlURaXOxMRs59rlVND7g8,,,,https://www.google.com/maps/place/?q=place_id:ChIJefAlURaXOxMRs59rlVND7g8,,
,hotel_328,Aman Venice,3,Venice,Italy,🇮🇹,"Calle Tiepolo 1364, 30125 Venezia VE",45.436777,12.33204,ChIJadCox9qxfkcR1nZWCLz8jUc,,,,https://www.google.com/maps/place/?q=place_id:ChIJadCox9qxfkcR1nZWCLz8jUc,,
,hotel_338,Reschio Hotel,3,Lisciano Niccone,Italy,🇮🇹,"Tabaccaia di Reschio, 06060 Lisciano Niccone PG",43.275894,12.198982,ChIJwcW165IGLBMRPwoOLasPHsc,,,,https://www.google.com/maps/place/?q=place_id:ChIJwcW165IGLBMRPwoOLasPHsc,,
,hotel_346,Casa Maria Luigia,3,Modena,Italy,🇮🇹,"Stradello Bonaghino 56, 41126 Modena MO",44.61001,10.979721,ChIJ27T4xeXnf0cRvuiee2DnVig,,,,https://www.google.com/maps/place/?q=place_id:ChIJ27T4xeXnf0cRvuiee2DnVig,,
,hotel_370,J.K. Place Capri,3,Capri,Italy,🇮🇹,"Via Marina Grande 225, 80073 Capri NA",40.557435,14.235452,ChIJK_MtD353OxMR0D_TkhhWBRA,,,,https://www.google.com/maps/place/?q=place_id:ChIJK_MtD353OxMR0D_TkhhWBRA,,
,hotel_455,Borgo Santo Pietro,3,Chiusdino,Italy,🇮🇹,"Località Palazzetto 110, 53012 Palazzetto SI",43.143248,11.128451,ChIJd8eywwKPKRMRbszjHYowgCM,,,,https://www.google.com/maps/place/?q=place_id:ChIJd8eywwKPKRMRbszjHYowgCM,,
,hotel_480,Atrio Restaurante Hotel,3,Cáceres,Spain,🇪🇸,"Plaza San Mateo 1, 10003 Cáceres",39.473018,-6.371306,ChIJm1JTpdbfFQ0Rv2Lf-opFjX0,,,,https://www.google.com/maps/place/?q=place_id:ChIJm1JTpdbfFQ0Rv2Lf-opFjX0,,
,hotel_484,Abadía Retuerta LeDomaine,3,Valladolid,Spain,🇪🇸,"N-122 km 332,5, 47340 Sardón de Duero, Valladolid",41.616118,-4.410899,ChIJ____L8wdRw0Rw4GbNfM1L9A,,,,https://www.google.com/maps/place/?q=place_id:ChIJ____L8wdRw0Rw4GbNfM1L9A,,
,hotel_491,Terra Dominicata - Hotel & Winery,3,Tarragona,Spain,🇪🇸,"T-702 Km 13, 43379 Escaladei, Tarragona",41.243886,0.796675,ChIJF8NoeQMzoRIRwyhXy5edUEY,,,,https://www.google.com/maps/place/?q=place_id:ChIJF8NoeQMzoRIRwyhXy5edUEY,,
,hotel_540,"Mandarin Oriental Ritz, Madrid",3,Madrid,Spain,🇪🇸,"Plaza de la Lealtad 5, 28014 Madrid",40.415758,-3.692607,ChIJYfC-KYMoQg0RhCEOyVqku7k,,,,https://www.google.com/maps/place/?q=place_id:ChIJYfC-KYMoQg0RhCEOyVqku7k,,
,hotel_643,HOTEL THE MITSUI KYOTO,3,Kyoto,Japan,🇯🇵,"284 Nijoaburanokojicho, Nakagyo Ward, Kyoto 604-0051",35.013457,135.753351,ChIJ_7QKsOsJAWARXSp7CEweg4A,,,,https://www.google.com/maps/place/?q=place_id:ChIJ_7QKsOsJAWARXSp7CEweg4A,,
,hotel_647,Bvlgari Hotel Tokyo,3,Tokyo,Japan,🇯🇵,"2-2-1 Yaesu, Chuo City, Tokyo 104-0028",35.678839,139.768327,ChIJaZec4c2LGGARhO_j0zirIOw,,,,https://www.google.com/maps/place/?q=place_id:ChIJaZec4c2LGGARhO_j0zirIOw,,
