id,restaurant_code,name,michelin_stars,cuisine,city,country,country_flag,address,latitude,longitude,google_place_id,michelin_url,website_url,booking_url,google_maps_url,located_in_hotel,property_name,worlds_50_best_rank,worlds_50_best_year
,rest_0002,ABAC,3,Catalan Creative,Barcelona,Spain,🇪🇸,"Av. del Tibidabo 1, 08022 Barcelona",41.4145,2.1344,ChIJjZxWjQ-YpBIR_xbBOD9lZ1k,https://guide.michelin.com/nl/nl/catalonia/barcelona/restaurant/abac,,,https://www.google.com/maps/place/?q=place_id:ChIJjZxWjQ-YpBIR_xbBOD9lZ1k,True,,,
,rest_0004,Alain Ducasse at The Dorchester,3,French,London,United Kingdom,🇬🇧,"53 Park Lane, London W1K 1QA",51.5074,-0.1507,ChIJDaP2Ky4FdkgR7VspCxVWiDk,https://guide.michelin.com/nl/nl/greater-london/london/restaurant/alain-ducasse-at-the-dorchester,,,https://www.google.com/maps/place/?q=place_id:ChIJDaP2Ky4FdkgR7VspCxVWiDk,False,,,
,rest_0037,De Librije,3,Dutch Creative,Zwolle,Netherlands,🇳🇱,"Broerenkerkplein 13, 8011 TW Zwolle",52.5117,6.0931,ChIJZTzQ4y_fx0cR4m292pUWJyM,https://guide.michelin.com/nl/nl/overijssel/zwolle/restaurant/de-librije,,,https://www.google.com/maps/place/?q=place_id:ChIJZTzQ4y_fx0cR4m292pUWJyM,False,,,
,rest_0044,DiverXO,3,Spanish Creative,Madrid,Spain,🇪🇸,"Calle de Padre Damián 23, 28036 Madrid",40.4516,-3.683,ChIJfUIagAMpQg0RRYLx9K82nJc,https://guide.michelin.com/nl/nl/madrid/madrid/restaurant/diverxo,,,https://www.google.com/maps/place/?q=place_id:ChIJfUIagAMpQg0RRYLx9K82nJc,False,,4.0,2025.0
,rest_0045,Eleven Madison Park,3,Contemporary American,New York,United States,🇺🇸,"11 Madison Ave, New York, NY 10010",40.7416,-73.9869,ChIJEWbXz6ZZwokRLKmKrtPfVFY,https://guide.michelin.com/nl/nl/new-york-state/new-york/restaurant/eleven-madison-park,,,https://www.google.com/maps/place/?q=place_id:ChIJEWbXz6ZZwokRLKmKrtPfVFY,False,,,
,rest_0053,Jungsik New York,3,Korean Contemporary,New York,United States,🇺🇸,"2 Harrison St, New York, NY 10013",40.7191,-74.0082,ChIJpSTN0R9awokRI29rK_SfbeA,https://guide.michelin.com/nl/nl/new-york-state/new-york/restaurant/jungsik-new-york,,,https://www.google.com/maps/place/?q=place_id:ChIJpSTN0R9awokRI29rK_SfbeA,False,,,
,rest_0058,Lasarte,3,Basque Contemporary,Barcelona,Spain,🇪🇸,"Carrer de Mallorca 259, 08008 Barcelona",41.3943,2.1617,ChIJ06Abq5OipBIRAAbiw3cStt8,https://guide.michelin.com/nl/nl/catalonia/barcelona/restaurant/lasarte,,,https://www.google.com/maps/place/?q=place_id:ChIJ06Abq5OipBIRAAbiw3cStt8,True,,,
,rest_0059,Le Bernardin,3,French Seafood,New York,United States,🇺🇸,"155 W 51st St, New York, NY 10019",40.7614,-73.982,ChIJV7QQ6kdZwokRax4615zpSGU,https://guide.michelin.com/nl/nl/new-york-state/new-york/restaurant/le-bernardin,,,https://www.google.com/maps/place/?q=place_id:ChIJV7QQ6kdZwokRax4615zpSGU,False,,,
,rest_0060,Le Gabriel - La Reserve Paris,3,French Contemporary,Paris,France,🇫🇷,"42 Avenue Gabriel, 75008 Paris",48.8697,2.3149,ChIJA1PHDM9v5kcRsdD0Snjw06k,https://guide.michelin.com/nl/nl/ile-de-france/paris/restaurant/le-gabriel-la-reserve-paris,,,https://www.google.com/maps/place/?q=place_id:ChIJA1PHDM9v5kcRsdD0Snjw06k,False,,,
,rest_0078,Osteria Francescana,3,Italian Contemporary,Modena,Italy,🇮🇹,"Via Stella 22, 41121 Modena",44.6447,10.9256,ChIJf_Es1BLvf0cRXen4-JhzYBk,https://guide.michelin.com/nl/nl/emilia-romagna/modena/restaurant/osteria-francescana,,,https://www.google.com/maps/place/?q=place_id:ChIJf_Es1BLvf0cRXen4-JhzYBk,False,,,
