participant_display_name,participant_type,region_country_tag,official_event_source_url,source_title,source_evidence,accessed_at,notes
Emmanuel Renaut,chef,France,https://www.andorrataste.com/en/ponente,AndorraTaste Speakers (official),"Listed as speaker, tagged France",2026-08-16,"Chef of Flocons de Sel (Megève, 3 Michelin stars) per independent search; restaurant not found in production catalogue"
Sergio y Javier Torres,chef,Catalonia,https://www.andorrataste.com/en/ponente,AndorraTaste Speakers (official),"Listed as speaker, tagged Catalonia",2026-08-16,"Chefs of Cocina Hermanos Torres, Barcelona"
Riccardo Gaspari,chef,Italy,https://www.andorrataste.com/en/ponente,AndorraTaste Speakers (official),"Listed as speaker, tagged Italy",2026-08-16,"Chef of SanBrite, Cortina d'Ampezzo per independent search; restaurant not found in production catalogue"
Virgilio Martínez,chef,Peru,https://www.andorrataste.com/en/ponente,AndorraTaste Speakers (official),"Listed as speaker, tagged Peru; recipient of the Andorra Taste Award 2026 per thegourmetjournal.com/alto.ad coverage",2026-08-16,"Chef of Central, Lima; restaurant not found in production catalogue (Peru has no official Michelin Guide, so even if matched would not display in MICHELIN AT THIS EVENT)"
Audrey Doré,sommelier,France,https://www.andorrataste.com/en/ponente,AndorraTaste Speakers (official),"Listed as speaker, tagged France; independently identified as a sommelier linked to El Celler de Can Roca",2026-08-16,"Not a chef/restaurant participant in her own right at this event; the source does not establish El Celler de Can Roca itself as a participating restaurant, only that she personally is linked to it — per the standard, a restaurant is never linked on an indirect chef/staff association alone"
Juanlu Fernández,chef,Andalusia,https://www.andorrataste.com/en/ponente,AndorraTaste Speakers (official),"Listed as speaker, tagged Andalusia",2026-08-16,"Chef of LÚ Cocina y Alma, Jerez de la Frontera"
Julian Stieger,chef,Austria,https://www.andorrataste.com/en/ponente,AndorraTaste Speakers (official),"Listed as speaker, tagged Austria (source spells 'Julian Stiger' in one secondary article, 'Julian Stieger' on the official site)",2026-08-16,"Chef of Rote Wand Chef's Table, Lech am Arlberg"
Vivien Durand,chef,France,https://www.andorrataste.com/en/ponente,AndorraTaste Speakers (official),"Listed as speaker, tagged France",2026-08-16,"Chef of Le Prince Noir - Vivien Durand, Lormont (Bordeaux)"
Paco Roncero,chef,Community of Madrid,https://www.andorrataste.com/en/ponente,AndorraTaste Speakers (official),"Listed as speaker, tagged Community of Madrid",2026-08-16,"Eponymous restaurant Paco Roncero, Madrid"
Iris Jordán,chef,Aragon,https://www.andorrataste.com/en/ponente,AndorraTaste Speakers (official),"Listed as speaker, tagged Aragon",2026-08-16,"Co-chef (with Bruno Jordán) of Restaurante Ansils, Anciles (Benasque valley) per bacoyboca.com; restaurant not found in production catalogue"
Iván Cerdeño,chef,Castile-La Mancha,https://www.andorrataste.com/en/ponente,AndorraTaste Speakers (official),"Listed as speaker, tagged Castile-La Mancha",2026-08-16,"Eponymous restaurant Iván Cerdeño, Toledo"
Dennys Teixeira,chef,France,https://www.andorrataste.com/en/ponente,AndorraTaste Speakers (official),"Listed as speaker, tagged France",2026-08-16,"Chef of La Coopérative per kitchen-generation.com and guiarepsol coverage of the Andorra roundtable; restaurant not found in production catalogue"
Oriol Balaguer,pastry_chef,Catalonia,https://www.andorrataste.com/en/ponente,AndorraTaste Speakers (official),"Listed as speaker, tagged Catalonia",2026-08-16,"Patisserie/boutique brand, not a restaurant in the Michelin sense — excluded from restaurant matching"
Manolo Franco,chef,Community of Madrid,https://www.andorrataste.com/en/ponente,AndorraTaste Speakers (official),"Listed as speaker, tagged Community of Madrid",2026-08-16,"Chef-owner of La Casa de Manolo Franco, Valdemorillo (1 Michelin star, 2025 Guide) per esmadrid.com/guide.michelin.com; restaurant not found in production catalogue"
Óscar Caballero,journalist,France,https://www.andorrataste.com/en/ponente,AndorraTaste Speakers (official),"Listed as speaker, tagged France; independently confirmed as a gastronomy journalist (guiarepsol.com roundtable coverage)",2026-08-16,"Not a chef or restaurant — journalist/moderator"
Eric Marty,chef,Andorra,https://www.guiarepsol.com,GuiaRepsol roundtable coverage,"Named as the Andorran chef participating in the France-influence roundtable alongside Renaut, Durand and Teixeira",2026-08-16,"Chef of Restaurant Eric Marty, Andorra la Vella; Andorra has zero restaurants in the production catalogue"
José Antonio Guillermo,chef,Andorra,https://bacoyboca.com/estrellas-michelin-y-chefs-de-altura-vuelven-a-protagonizar-el-andorra-taste/,Baco&Boca (editorial cross-validation),"Named as Andorran chef of Odetti Bistro",2026-08-16,"Andorra has zero restaurants in the production catalogue"
Roger Biosca,chef,Andorra,https://bacoyboca.com/estrellas-michelin-y-chefs-de-altura-vuelven-a-protagonizar-el-andorra-taste/,Baco&Boca (editorial cross-validation),"Named as Andorran chef of Hotel de l'Isard",2026-08-16,"Andorra has zero restaurants in the production catalogue"
Marc Mora,chef,Andorra,https://bacoyboca.com/estrellas-michelin-y-chefs-de-altura-vuelven-a-protagonizar-el-andorra-taste/,Baco&Boca (editorial cross-validation),"Named as Andorran chef of És Andorra del Park Hotel",2026-08-16,"Andorra has zero restaurants in the production catalogue"
