award_id,country,country_code,award_category,award_category_local_name,winner_name,restaurant_name,guide_year,source_url,retrieval_date,notes
gma_001,France,FR,Chef of the Year,Cuisinier de l'Année,César Troisgros,Le Bois sans feuilles - Maison Troisgros,2026,https://fr.gaultmillau.com/fr/news/gala-gault-millau-2025,2026-08-11,
gma_002,France,FR,Pastry Chef of the Year,Pâtissier de l'Année,Anne Coruble,L'Oiseau Blanc - The Peninsula,2026,https://fr.gaultmillau.com/fr/news/gala-gault-millau-2025,2026-08-11,
gma_003,France,FR,Sommelier of the Year,Sommelier de l'Année,Marion Cirino,L'Ambroisie,2026,https://fr.gaultmillau.com/fr/news/gala-gault-millau-2025,2026-08-11,
gma_004,France,FR,Restaurant Manager of the Year,Directeur/Directrice de Salle de l'Année,Fanny Perrot,Alléno Paris – Pavillon Ledoyen,2026,https://fr.gaultmillau.com/fr/news/gala-gault-millau-2025,2026-08-11,
gma_005,France,FR,Rising Star of the Year,Grand de Demain de l'Année,Loïs Bée,La Table - Christophe Hay et Loïs Bée,2026,https://fr.gaultmillau.com/fr/news/gala-gault-millau-2025,2026-08-11,
gma_006,France,FR,Young Talent of the Year,Jeune Talent de l'Année,Romain Zarazaga,Lueurs,2026,https://fr.gaultmillau.com/fr/news/gala-gault-millau-2025,2026-08-11,
gma_007,Netherlands,NL,Chef of the Year,,,,2026,https://www.gault-millau.nl/en/news/gaultmillau-nederland-presenteert-nieuwe-gids-en-eert-de-chef-van-het-jaar-2026-en-andere-winnaars,2026-08-11,winner name not individually captured this pass - category confirmed only
gma_008,Netherlands,NL,Young Chef of the Year,,,,2026,https://www.gault-millau.nl/en/news/gaultmillau-nederland-presenteert-nieuwe-gids-en-eert-de-chef-van-het-jaar-2026-en-andere-winnaars,2026-08-11,winner name not individually captured this pass - category confirmed only
gma_009,Netherlands,NL,Host of the Year,,,,2026,https://www.gault-millau.nl/en/news/gaultmillau-nederland-presenteert-nieuwe-gids-en-eert-de-chef-van-het-jaar-2026-en-andere-winnaars,2026-08-11,winner name not individually captured this pass - category confirmed only
gma_010,Netherlands,NL,Lifetime Achievement,,,,2026,https://www.gault-millau.nl/en/news/gaultmillau-nederland-presenteert-nieuwe-gids-en-eert-de-chef-van-het-jaar-2026-en-andere-winnaars,2026-08-11,winner name not individually captured this pass - category confirmed only
gma_011,Netherlands,NL,Remarkable Newcomer of the Year,,,,2026,https://www.gault-millau.nl/en/news/gaultmillau-nederland-presenteert-nieuwe-gids-en-eert-de-chef-van-het-jaar-2026-en-andere-winnaars,2026-08-11,winner name not individually captured this pass - category confirmed only
