candidate_id,country_code,restaurant_name,resolved_city,city_id,michelin_stars_manifest,michelin_stars_final,star_corrected,coordinate_quality,latitude,longitude,has_michelin_url,hotel_link,classification,notes
be_007,BE,Bistrot du Nord,Antwerpen,4de2e02c-0e95-443b-9319-d1ff935a114c,1,1,no,VENUE_EXACT,51.2275728,4.4187220,yes,,APPROVED_FOR_IMPORT,"Candidate name on file is 'Bistrot de Nord' -- real name confirmed 'Bistrot du Nord' (de->du) via Michelin Guide + multiple corroborating sources; same restaurant, minor spelling variant on file"
be_008,BE,The Butcher's son,Antwerpen,4de2e02c-0e95-443b-9319-d1ff935a114c,1,1,no,VENUE_EXACT,51.1995473,4.4158394,yes,,APPROVED_FOR_IMPORT,Located in the historic De Koninck brewery
be_010,BE,Fine Fleur,Antwerpen,4de2e02c-0e95-443b-9319-d1ff935a114c,1,1,no,PROPERTY_EXACT,51.2153311,4.4050482,yes,Botanic Sanctuary Antwerp,APPROVED_FOR_IMPORT,Located inside Botanic Sanctuary Antwerp hotel -- property relationship candidate
be_011,BE,Kommilfoo,Antwerpen,4de2e02c-0e95-443b-9319-d1ff935a114c,1,1,no,ADDRESS_EXACT,51.2111252,4.3926732,yes,,APPROVED_FOR_IMPORT,Official site restaurantkommilfoo.be corroborates
be_013,BE,Misera,Antwerpen,4de2e02c-0e95-443b-9319-d1ff935a114c,1,1,no,ADDRESS_EXACT,51.2045642,4.3823102,yes,,APPROVED_FOR_IMPORT,"NOTE: a separate 'Bar Misera' Michelin listing also exists at nicolasmisera.com -- this candidate is restaurant Misera, not Bar Misera; verified via distinct Michelin Guide URL slug /restaurant/misera"
be_014,BE,Nathan,Antwerpen,4de2e02c-0e95-443b-9319-d1ff935a114c,1,1,no,VENUE_EXACT,51.2231170,4.4027864,yes,,APPROVED_FOR_IMPORT,Official site restaurant-nathan.be corroborates; chef Nathan Van Echelpoel
be_016,BE,Pont neuf,Antwerpen,4de2e02c-0e95-443b-9319-d1ff935a114c,1,1,no,ADDRESS_EXACT,51.2304881,4.4081274,yes,,APPROVED_FOR_IMPORT,Matches address already independently verified in the prior location spike (candidate be_016) -- consistent
be_017,BE,'t Fornuis,Antwerpen,4de2e02c-0e95-443b-9319-d1ff935a114c,1,1,no,VENUE_EXACT,51.2190167,4.3994157,yes,,APPROVED_FOR_IMPORT,"Long-running restaurant (1-star since 1986), well documented incl. Wikipedia"
be_018,BE,Centpourcent,Sint-Katelijne-Waver,8bc77d85-2eb0-488e-a92c-e55132b9279d,1,1,no,VENUE_EXACT,51.0557966,4.4634265,yes,,APPROVED_FOR_IMPORT,Official site centpourcent.be corroborates
be_019,BE,De Pastorie,Lichtaart,ff92bd50-b965-45f0-a081-5848a3e138b5,1,1,no,VENUE_EXACT,51.2261191,4.9241642,yes,,APPROVED_FOR_IMPORT,Matches address already independently verified in the prior location spike (candidate be_019) -- consistent
