candidate_id,country_code,restaurant_name,resolved_city,city_id,michelin_stars_manifest,michelin_stars_final,star_corrected,coordinate_quality,latitude,longitude,has_michelin_url,hotel_link,classification,notes
fr_0017,FR,Assiette Champenoise,Tinqueux,58e74915-0b99-4dd2-92f7-9c9d686ddf49,3,3,no,PROPERTY_EXACT,49.2479311,4.0031097,no,,APPROVED_FOR_IMPORT,Reused verbatim from the completed 20-record location spike.
fr_0024,FR,Le Royal,Champillon,9bb90c14-6fec-4d4d-b599-8cabdeed194c,1,1,no,PROPERTY_EXACT,49.0909765,3.9767240,no,,APPROVED_FOR_IMPORT,Reused verbatim from the completed 20-record location spike.
fr_0029,FR,Alcôve,Vinay,06eeb39d-f089-47b3-ac28-0e34cd540b65,1,1,no,PROPERTY_EXACT,49.0087890,3.9075840,no,,APPROVED_FOR_IMPORT,Reused verbatim from the completed 20-record location spike.
fr_0040,FR,Villa René Lalique,Wingen-sur-Moder,33144ce8-e058-4e28-ac2a-706938e9acca,2,2,no,PROPERTY_EXACT,48.9184873,7.3647098,no,,APPROVED_FOR_IMPORT,Reused verbatim from the completed 20-record location spike.
fr_0026,FR,Yozora,Metz,d1127883-b874-4fbb-8415-6b97a966a5ee,1,1,no,PROPERTY_EXACT,49.1082004,6.1815828,no,,APPROVED_FOR_IMPORT,Reused verbatim from the completed 20-record location spike.
fr_0028,FR,Les Voiles d'Or,Dieppe,73ef0d5f-df69-46f0-9055-ff10c6c23b12,1,1,no,VENUE_EXACT,49.9319818,1.0893379,no,,APPROVED_FOR_IMPORT,Reused verbatim from the completed 20-record location spike.
fr_0001,FR,Harmonie,Villeneuve-d'Ascq,f895a812-e163-406e-9554-51fbdc742f67,1,1,no,ADDRESS_EXACT,50.6640640,3.1457110,no,,APPROVED_FOR_IMPORT,Reused verbatim from the completed 20-record location spike.
fr_0043,FR,Villa9Trois,Montreuil,5c87132d-7e01-49c7-8499-32b98f65ffe8,1,1,no,ADDRESS_EXACT,48.8639093,2.4331381,no,,APPROVED_FOR_IMPORT,Reused verbatim from the completed 20-record location spike.
fr_0010,FR,Bacôve,Saint-Omer,3e50a27a-71e3-49be-a629-1092c3e5c101,1,1,no,VENUE_EXACT,50.7482326,2.2553203,no,,APPROVED_FOR_IMPORT,Reused verbatim from the completed 20-record location spike.
fr_0038,FR,L'Odas,Rouen,b7d82b2b-93aa-4639-9b78-4ec65068cf25,1,1,no,VENUE_EXACT,49.4410947,1.0945572,no,,APPROVED_FOR_IMPORT,Reused verbatim from the completed 20-record location spike.
fr_0002,FR,Arborescence,Croix,4d640f78-5459-40ee-97dc-9450d05fdd7a,1,1,no,VENUE_EXACT,50.6770420,3.1417215,yes,,APPROVED_FOR_IMPORT,
fr_0004,FR,Le Restaurant du Cerisier,Lille,555a94b2-8901-4109-904f-0ecfb9d65c88,1,1,no,ADDRESS_EXACT,50.6420348,3.0642501,yes,,APPROVED_FOR_IMPORT,
fr_0005,FR,Auberge du Vert Mont,Boeschepe,d6acea43-5483-4c61-bc59-68673c6bbe96,1,1,no,VENUE_EXACT,50.7929646,2.7034612,yes,,APPROVED_FOR_IMPORT,
fr_0006,FR,Ginko,Lille,555a94b2-8901-4109-904f-0ecfb9d65c88,1,1,no,VENUE_EXACT,50.6353273,3.0601383,yes,,APPROVED_FOR_IMPORT,
fr_0007,FR,Pureté,Lille,555a94b2-8901-4109-904f-0ecfb9d65c88,1,1,no,VENUE_EXACT,50.6415206,3.0618239,yes,,APPROVED_FOR_IMPORT,
fr_0008,FR,Haut Bonheur de la Table,Cassel,2dc33d88-5d9e-492a-b4f4-7a612e20f772,1,1,no,VENUE_EXACT,50.7998212,2.4855555,yes,,APPROVED_FOR_IMPORT,
fr_0009,FR,Le Camélia,Bry,7091050d-c13c-4073-96ad-1cbc0a5412c9,1,1,no,ADDRESS_EXACT,50.3190375,3.6770444,yes,,APPROVED_FOR_IMPORT,
fr_0011,FR,La Table de Christophe Dufossé,Busnes,8c2ab08d-192c-46c3-bf1b-411a5bfe945b,2,2,no,ADDRESS_EXACT,50.5830173,2.5137203,yes,,APPROVED_FOR_IMPORT,
fr_0012,FR,La Grenouillère,La Madelaine-sous-Montreuil,81c4ec4b-17d1-4ca3-859b-c7d7eff38f3b,2,2,no,VENUE_EXACT,50.4711000,1.7543454,yes,,APPROVED_FOR_IMPORT,"2-star, Relais & Chateaux, chef Alexandre Gauthier"
fr_0013,FR,Auberge de la Grive,Trosly-Loire,99f86c8e-8be8-49f5-8f32-3fcc334b1ef9,1,1,no,ADDRESS_EXACT,49.5166950,3.2252020,yes,,APPROVED_FOR_IMPORT,
fr_0014,FR,Alexis Baudin,Malling,8fe2c604-8c3b-4ed5-9103-90163179e5d7,1,1,no,VENUE_EXACT,49.4090714,6.3078998,yes,,APPROVED_FOR_IMPORT,"Address given as 'Petite-Hettange, Malling' -- Petite-Hettange is a hamlet within Malling commune"
fr_0015,FR,Le K,Montenach,571922cb-541b-4ac2-90a4-18e846182441,1,1,no,PROPERTY_EXACT,49.4192419,6.3758272,yes,,APPROVED_FOR_IMPORT,Located in Domaine de la Klauss hotel -- property relationship candidate
