restaurant_code,name,google_place_id,google_record_name,distance_m,record_type,certainty,notes
rest_0795,Bistrot du Nord,ChIJM1turqz3w0cRxNTm7ow7ZzQ,Bistrot Du Nord,5.6,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Lange Dijkstraat 36, 2060 Antwerpen, Belgium"
rest_0796,The Butcher's son,ChIJNz0ttRL6w0cR1lO6a9TlgH8,The Butcher's Son,20.5,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Boomgaardstraat 1, 2018 Antwerpen, Belgium"
rest_0797,Fine Fleur,,Fine Fleur,170.3,restaurant,unclear,"distance 170.3m in 100-500m band or name mismatch at close range — not auto-accepted. query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Lange Gasthuisstraat 41b, 2000 Antwerpen, Belgium"
rest_0798,Kommilfoo,ChIJ5YOmbe32w0cRBDzt4G3k-i8,Kommilfoo,6.8,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Vlaamsekaai 17, 2000 Antwerpen, Belgium"
rest_0799,Misera,,Misera,107.8,restaurant,unclear,"distance 107.8m in 100-500m band or name mismatch at close range — not auto-accepted. query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Michel de Braeystraat 18, 2000 Antwerpen, Belgium"
rest_0800,Nathan,ChIJbfI9blj2w0cRlV7XhRfJGAk,NATHAN,5.3,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Lange Koepoortstraat 13, 2000 Antwerpen, Belgium"
rest_0801,Pont neuf,ChIJtVnfgRj3w0cRKDFpC-MstcY,Pont-Neuf,4.1,restaurant,confirmed,"Name variant is hyphenation only (""Pont neuf"" vs ""Pont-Neuf""), distance 4.1m — same venue, confirmed on review. | distance 4.1m in 100-500m band or name mismatch at close range — not auto-accepted. query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Verbindingsdok-Oostkaai 9, 2000 Antwerpen, Belgium | NAME MISMATCH: db='Pont neuf' vs google='Pont-Neuf'"
rest_0802,'t Fornuis,ChIJi13m7Pb2w0cRJS-ZqJttnYc,'t Fornuis,0.1,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Reyndersstraat 24, 2000 Antwerpen, Belgium"
rest_0803,Centpourcent,ChIJEatm5J_lw0cRX3pjF8uVAEg,Centpourcent,4.4,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Antwerpsesteenweg 1, 2860 Sint-Katelijne-Waver, Belgium"
rest_0804,De Pastorie,ChIJ46NFAyFNwUcR6NoZxYarYfU,De Pastorie,2.5,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Plaats 2, 2460 Kasterlee, Belgium"
rest_0805,Hert,ChIJo5OvKU2zxkcReF3MK9QyLI4,Hert,6.0,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Turnovatoren 18, 2300 Turnhout, Belgium"
rest_0806,Hof Ter Hulst,ChIJ_QeEsX5awUcRClXBqSBkzE0,Hof Ter Hulst,8.7,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Kerkstraat 33, 2235 Hulshout, Belgium"
rest_0807,La Belle,ChIJY7tqCwZKwUcRJkjfmdGo7fc,La Belle,4.2,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Bel 162, 2440 Geel, Belgium"
rest_0808,Neon,ChIJaZihUiz9w0cR3WdAMeNC_iI,Neon Restaurant,0.1,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Barbara-Vettersplein 4, 2500 Lier, Belgium"
rest_0809,Kelderman,ChIJWwYLbUO9w0cRKZxSFBRV6_4,Kelderman,3.5,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Parklaan 4, 9300 Aalst, Belgium"
rest_0810,Sense,ChIJecWclo2Pw0cRSvB-De6sTdE,sense,7.9,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Fortenstraat 62, 9250 Waasmunster, Belgium"
rest_0811,Goffin,ChIJM1e4kq1Qw0cRd-VL6SDO-LY,GOFFIN,6.4,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Maalse Steenweg 2, 8310 Brugge, Belgium"
rest_0812,Hostellerie St-Nicolas,,Hostellerie Saint Nicolas,14.4,hotel_restaurant_ambiguous,unclear,"distance 14.4m in 100-500m band or name mismatch at close range — not auto-accepted. query=name+city | types=establishment,food,lodging,point_of_interest,restaurant | addr=Veurnseweg 532, 8906 Ieper, Belgium | NAME MISMATCH: db='Hostellerie St-Nicolas' vs google='Hostellerie Saint Nicolas'"
rest_0813,Tinèlle,ChIJxRJSYB3lw0cRilR6q9eF2sU,Tinèlle,11.7,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Goswin de Stassartstraat 90, 2800 Mechelen, Belgium"
rest_0814,Bloesem,ChIJqdb6kt73w0cRBNxxsGgPBo4,Bloesem,5.7,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=De Leescorfstraat 8, 2140 Antwerpen, Belgium"
rest_0815,Komaf,ChIJcy-3_JT5w0cRsaiLA8gcRhs,KOMAF,37.3,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Schranshoevebaan 35, 2160 Wommelgem, Belgium"
rest_0816,Vintage,ChIJefSDVw3ww0cRgjL6KVthkQc,Vintage,3.9,restaurant,confirmed,"query=name+city | types=establishment,food,point_of_interest,restaurant | addr=Rijkerooistraat 14, 2550 Kontich, Belgium"
