restaurant_code,name,guide_year,award_type,award_value,is_current,evidence_source,confidence,status
rest_0002,ABAC,2012,michelin_stars,2,false,"WebSearch: gourmenials.cat 'ABaC Barcelona Jordi Cruz Three Michelin Stars'; barcelonayellow.com ABaC page, retrieved 2026-08-07",medium,proposed
rest_0002,ABAC,2018,michelin_stars,3,false,"WebSearch: gourmenials.cat and barcelonayellow.com (barcelonayellow.com dates the rise to 2017, other sources say 2018 - noted discrepancy). VERIFICATION PASS 2026-08-07: sources still conflict on the exact year (2017 vs 2018); status downgraded from proposed to unresolved per historical_award_conflicts.md - the promotion is real, the exact guide_year is not confirmed.",medium,unresolved
rest_0004,Alain Ducasse at The Dorchester,2010,michelin_stars,3,false,"Wikipedia 'Alain Ducasse'; dorchestercollection.com/london/the-dorchester/dining/alain-ducasse-at-the-dorchester, retrieved 2026-08-07",high,proposed
rest_0037,De Librije,1993,michelin_stars,1,false,"Wikipedia 'De Librije'; dutchnews.nl, andyhayler.com/restaurant/de-librije, retrieved 2026-08-07",high,proposed
rest_0037,De Librije,1999,michelin_stars,2,false,"Wikipedia 'De Librije'; andyhayler.com/restaurant/de-librije, retrieved 2026-08-07",high,proposed
rest_0037,De Librije,2004,michelin_stars,3,false,"Wikipedia 'De Librije'; dutchnews.nl 'De Librije keeps three Michelin stars', retrieved 2026-08-07",high,proposed
rest_0044,DiverXO,2010,michelin_stars,1,false,"gulfnews.com 'Three Michelin stars for quirky Madrid restaurant DiverXo'; airmail.news/arts-intel/venues/diverxo, retrieved 2026-08-07",high,proposed
rest_0044,DiverXO,2012,michelin_stars,2,false,"gulfnews.com; airmail.news, retrieved 2026-08-07",high,proposed
rest_0044,DiverXO,2013,michelin_stars,3,false,"gulfnews.com 'Three Michelin stars for quirky Madrid restaurant DiverXo'; airmail.news, retrieved 2026-08-07",high,proposed
rest_0045,Eleven Madison Park,2012,michelin_stars,3,false,"Wikipedia 'Eleven Madison Park', retrieved 2026-08-07",high,proposed
rest_0053,Jungsik New York,2013,michelin_stars,2,false,"ABC News 'Jungsik makes history as 1st Korean restaurant to earn 3 Michelin stars'; Wikipedia 'Jungsik', retrieved 2026-08-07",medium,proposed
rest_0053,Jungsik New York,2024,michelin_stars,3,false,"ABC News/Good Morning America 'Jungsik makes history...'; guide.michelin.com article 'first three Michelin star Korean restaurant in the United States', retrieved 2026-08-07",high,proposed
