restaurant_code,name,michelin_url
rest_0286,Louis Linster,https://guide.michelin.com/en/luxembourg/frisange/restaurant/lea-linster
rest_0285,Ma langue sourit,https://guide.michelin.com/en/luxembourg/oetrange/restaurant/ma-langue-sourit
rest_0292,Apdikt,https://guide.michelin.com/en/luxembourg/steinfort/restaurant/apdikt
rest_0294,Archibald De Prince,https://guide.michelin.com/en/grevenmacher/lauterborn/restaurant/archibald-de-prince
rest_0288,Fani,https://guide.michelin.com/en/luxembourg/roeser/restaurant/fani
rest_0293,Fields by René Mathieu,https://guide.michelin.com/en/luxembourg/findel/restaurant/fields-by-rene-mathieu
rest_0295,Grünewald Chef's Table,https://guide.michelin.com/en/luxembourg/luxembourg/restaurant/grunewald-chef-s-table
rest_0287,Guillou Campagne,https://guide.michelin.com/en/luxembourg/schouweiler/restaurant/guillou-campagne
rest_0291,La Villa de Camille et Julien,https://guide.michelin.com/en/luxembourg/luxembourg/restaurant/la-villa-de-camille-et-julien
rest_0289,Mosconi,https://guide.michelin.com/en/luxembourg/luxembourg/restaurant/mosconi
rest_0290,Ryôdô,https://guide.michelin.com/en/luxembourg/luxembourg/restaurant/ryodo
