restaurant_code,canonical_name,city,michelin_stars,address,match_status,confidence,notes
rest_0037,De Librije,Zwolle,3,"Broerenkerkplein 13, 8011 TW Zwolle",EXISTING_EXACT,high,"Live production row, current recognition read from restaurants.michelin_stars directly (not inclusion_reason). Not individually re-audited this pass per instruction to trust existing data -- see NETHERLANDS_MICHELIN_COMPLETION_REPORT.md for the one exception (Inter Scaldes, incidentally re-verified during 3-star tier research)."
rest_0146,'t Nonnetje,Harderwijk,2,"Vischmarkt 38, 3841 BG Harderwijk",EXISTING_EXACT,high,"Live production row, current recognition read from restaurants.michelin_stars directly (not inclusion_reason). Not individually re-audited this pass per instruction to trust existing data -- see NETHERLANDS_MICHELIN_COMPLETION_REPORT.md for the one exception (Inter Scaldes, incidentally re-verified during 3-star tier research)."
rest_0001,Aan de Poel,Amstelveen,2,"Handweg 1, 1185 TS Amstelveen",EXISTING_EXACT,high,"Live production row, current recognition read from restaurants.michelin_stars directly (not inclusion_reason). Not individually re-audited this pass per instruction to trust existing data -- see NETHERLANDS_MICHELIN_COMPLETION_REPORT.md for the one exception (Inter Scaldes, incidentally re-verified during 3-star tier research)."
rest_0018,Brut172,Reijmerstok,2,"Reijmerstokkerdorpsstraat 143, 6274 NK Reijmerstok",EXISTING_EXACT,high,"Live production row, current recognition read from restaurants.michelin_stars directly (not inclusion_reason). Not individually re-audited this pass per instruction to trust existing data -- see NETHERLANDS_MICHELIN_COMPLETION_REPORT.md for the one exception (Inter Scaldes, incidentally re-verified during 3-star tier research)."
rest_0025,Ciel Bleu,Amsterdam,2,"Ferdinand Bolstraat 333, 1072 LH Amsterdam",EXISTING_EXACT,high,"Live production row, current recognition read from restaurants.michelin_stars directly (not inclusion_reason). Not individually re-audited this pass per instruction to trust existing data -- see NETHERLANDS_MICHELIN_COMPLETION_REPORT.md for the one exception (Inter Scaldes, incidentally re-verified during 3-star tier research)."
rest_0027,Create by Guido Braeken,Eijsden,2,"Laamsveldweg 3, 6245 NV Eijsden",EXISTING_EXACT,high,"Live production row, current recognition read from restaurants.michelin_stars directly (not inclusion_reason). Not individually re-audited this pass per instruction to trust existing data -- see NETHERLANDS_MICHELIN_COMPLETION_REPORT.md for the one exception (Inter Scaldes, incidentally re-verified during 3-star tier research)."
rest_0030,De Bokkedoorns,Overveen,2,"Zeeweg 52, 2051 EB Overveen",EXISTING_EXACT,high,"Live production row, current recognition read from restaurants.michelin_stars directly (not inclusion_reason). Not individually re-audited this pass per instruction to trust existing data -- see NETHERLANDS_MICHELIN_COMPLETION_REPORT.md for the one exception (Inter Scaldes, incidentally re-verified during 3-star tier research)."
rest_0149,De Groene Lantaarn,Staphorst,2,"Gemeenteweg 364, 7951 PG Staphorst",EXISTING_EXACT,high,"Live production row, current recognition read from restaurants.michelin_stars directly (not inclusion_reason). Not individually re-audited this pass per instruction to trust existing data -- see NETHERLANDS_MICHELIN_COMPLETION_REPORT.md for the one exception (Inter Scaldes, incidentally re-verified during 3-star tier research)."
rest_0038,De Lindenhof,Giethoorn,2,"Beulakerweg 77, 8355 AC Giethoorn",EXISTING_EXACT,high,"Live production row, current recognition read from restaurants.michelin_stars directly (not inclusion_reason). Not individually re-audited this pass per instruction to trust existing data -- see NETHERLANDS_MICHELIN_COMPLETION_REPORT.md for the one exception (Inter Scaldes, incidentally re-verified during 3-star tier research)."
rest_0040,De Nieuwe Winkel,Nijmegen,2,"Groesbeekseweg 119, 6523 PE Nijmegen",EXISTING_EXACT,high,"Live production row, current recognition read from restaurants.michelin_stars directly (not inclusion_reason). Not individually re-audited this pass per instruction to trust existing data -- see NETHERLANDS_MICHELIN_COMPLETION_REPORT.md for the one exception (Inter Scaldes, incidentally re-verified during 3-star tier research)."
rest_0041,De Treeswijkhoeve,Waalre,2,"Meerveldhoven 13, 5581 LV Waalre",EXISTING_EXACT,high,"Live production row, current recognition read from restaurants.michelin_stars directly (not inclusion_reason). Not individually re-audited this pass per instruction to trust existing data -- see NETHERLANDS_MICHELIN_COMPLETION_REPORT.md for the one exception (Inter Scaldes, incidentally re-verified during 3-star tier research)."
rest_0046,FG - François Geurds,Rotterdam,2,"Katshoek 37b, 3032 AE Rotterdam",EXISTING_EXACT,high,"Live production row, current recognition read from restaurants.michelin_stars directly (not inclusion_reason). Not individually re-audited this pass per instruction to trust existing data -- see NETHERLANDS_MICHELIN_COMPLETION_REPORT.md for the one exception (Inter Scaldes, incidentally re-verified during 3-star tier research)."
rest_0047,Flore,Amsterdam,2,"Nieuwe Doelenstraat 2-14, 1012 CP Amsterdam",EXISTING_EXACT,high,"Live production row, current recognition read from restaurants.michelin_stars directly (not inclusion_reason). Not individually re-audited this pass per instruction to trust existing data -- see NETHERLANDS_MICHELIN_COMPLETION_REPORT.md for the one exception (Inter Scaldes, incidentally re-verified during 3-star tier research)."
rest_0048,Fred,Rotterdam,2,"Honingerdijk 95, 3063 AE Rotterdam",EXISTING_EXACT,high,"Live production row, current recognition read from restaurants.michelin_stars directly (not inclusion_reason). Not individually re-audited this pass per instruction to trust existing data -- see NETHERLANDS_MICHELIN_COMPLETION_REPORT.md for the one exception (Inter Scaldes, incidentally re-verified during 3-star tier research)."
rest_0049,GEM. by Soenil Bahadoer,Gemert,2,"Kasteellaan 1, 5421 CB Gemert",EXISTING_EXACT,high,"Live production row, current recognition read from restaurants.michelin_stars directly (not inclusion_reason). Not individually re-audited this pass per instruction to trust existing data -- see NETHERLANDS_MICHELIN_COMPLETION_REPORT.md for the one exception (Inter Scaldes, incidentally re-verified during 3-star tier research)."
rest_0051,Inter Scaldes,Kruiningen,2,"Zandweg 2, 4416 NA Kruiningen",EXISTING_EXACT,high,"Live production row, current recognition read from restaurants.michelin_stars directly (not inclusion_reason). Not individually re-audited this pass per instruction to trust existing data -- see NETHERLANDS_MICHELIN_COMPLETION_REPORT.md for the one exception (Inter Scaldes, incidentally re-verified during 3-star tier research)."
rest_0079,Parkheuvel,Rotterdam,2,"Heuvellaan 21, 3016 GL Rotterdam",EXISTING_EXACT,high,"Live production row, current recognition read from restaurants.michelin_stars directly (not inclusion_reason). Not individually re-audited this pass per instruction to trust existing data -- see NETHERLANDS_MICHELIN_COMPLETION_REPORT.md for the one exception (Inter Scaldes, incidentally re-verified during 3-star tier research)."
rest_0085,Restaurant 212,Amsterdam,2,"Amsteldijk 212, 1079 LK Amsterdam",EXISTING_EXACT,high,"Live production row, current recognition read from restaurants.michelin_stars directly (not inclusion_reason). Not individually re-audited this pass per instruction to trust existing data -- see NETHERLANDS_MICHELIN_COMPLETION_REPORT.md for the one exception (Inter Scaldes, incidentally re-verified during 3-star tier research)."
