canonical_name,city,country_code,michelin_stars,source_type,source_confidence,notes
De Librije,Zwolle,NL,3,production_catalogue,high,Already in Chasing Stars production.
't Nonnetje,Harderwijk,NL,2,production_catalogue,high,Already in Chasing Stars production.
Aan de Poel,Amstelveen,NL,2,production_catalogue,high,Already in Chasing Stars production.
Brut172,Reijmerstok,NL,2,production_catalogue,high,Already in Chasing Stars production.
Ciel Bleu,Amsterdam,NL,2,production_catalogue,high,Already in Chasing Stars production.
Create by Guido Braeken,Eijsden,NL,2,production_catalogue,high,Already in Chasing Stars production.
De Bokkedoorns,Overveen,NL,2,production_catalogue,high,Already in Chasing Stars production.
De Groene Lantaarn,Staphorst,NL,2,production_catalogue,high,Already in Chasing Stars production.
De Lindenhof,Giethoorn,NL,2,production_catalogue,high,Already in Chasing Stars production.
De Nieuwe Winkel,Nijmegen,NL,2,production_catalogue,high,Already in Chasing Stars production.
De Treeswijkhoeve,Waalre,NL,2,production_catalogue,high,Already in Chasing Stars production.
FG - François Geurds,Rotterdam,NL,2,production_catalogue,high,Already in Chasing Stars production.
Flore,Amsterdam,NL,2,production_catalogue,high,Already in Chasing Stars production.
Fred,Rotterdam,NL,2,production_catalogue,high,Already in Chasing Stars production.
GEM. by Soenil Bahadoer,Gemert,NL,2,production_catalogue,high,Already in Chasing Stars production.
Inter Scaldes,Kruiningen,NL,2,production_catalogue,high,Already in Chasing Stars production.
Parkheuvel,Rotterdam,NL,2,production_catalogue,high,Already in Chasing Stars production.
Restaurant 212,Amsterdam,NL,2,production_catalogue,high,Already in Chasing Stars production.
Spectrum,Amsterdam,NL,2,production_catalogue,high,Already in Chasing Stars production.
Tribeca,Heeze,NL,2,production_catalogue,high,Already in Chasing Stars production.
Vinkeles,Amsterdam,NL,2,production_catalogue,high,Already in Chasing Stars production.
Alma,Oisterwijk,NL,1,production_catalogue,high,Already in Chasing Stars production.
Amarone,Rotterdam,NL,1,production_catalogue,high,Already in Chasing Stars production.
Apicius,Castricum,NL,1,production_catalogue,high,Already in Chasing Stars production.
Au Coin des Bons Enfants,Maastricht,NL,1,production_catalogue,high,Already in Chasing Stars production.
Beluga loves you,Maastricht,NL,1,production_catalogue,high,Already in Chasing Stars production.
Bistro de la Mer,Amsterdam,NL,1,production_catalogue,high,Already in Chasing Stars production.
Bolenius Rembrandtpark,Amsterdam,NL,1,production_catalogue,high,Already in Chasing Stars production.
Bougainville,Amsterdam,NL,1,production_catalogue,high,Already in Chasing Stars production.
Brass Boer Thuis,Zwolle,NL,1,production_catalogue,high,Already in Chasing Stars production.
Calla's,The Hague,NL,1,production_catalogue,high,Already in Chasing Stars production.
Central Park,Voorburg,NL,1,production_catalogue,high,Already in Chasing Stars production.
Chateau Neercanne,Maastricht,NL,1,production_catalogue,high,Already in Chasing Stars production.
Cheval Blanc,Heemstede,NL,1,production_catalogue,high,Already in Chasing Stars production.
Choux,Amsterdam,NL,1,production_catalogue,high,Already in Chasing Stars production.
Codium,Goes,NL,1,production_catalogue,high,Already in Chasing Stars production.
CUE,Amsterdam,NL,1,production_catalogue,high,Already in Chasing Stars production.
Da Vinci,Maasbracht,NL,1,production_catalogue,high,Already in Chasing Stars production.
De Heeren van Harinxma,Beetsterzwaag,NL,1,production_catalogue,high,Already in Chasing Stars production.
De Juwelier,Amsterdam,NL,1,production_catalogue,high,Already in Chasing Stars production.
De kas,Amsterdam,NL,1,production_catalogue,high,Already in Chasing Stars production.
De Kromme Dissel,Heelsum,NL,1,production_catalogue,high,Already in Chasing Stars production.
De Kromme Watergang,Hoofdplaat,NL,1,production_catalogue,high,Already in Chasing Stars production.
De Leuf,Ubachsberg,NL,1,production_catalogue,high,Already in Chasing Stars production.
De Nederlanden,Vreeland,NL,1,production_catalogue,high,Already in Chasing Stars production.
Demain,Cadzand,NL,1,production_catalogue,high,Already in Chasing Stars production.
Herberg Onder de Linden,Groningen,NL,1,production_catalogue,high,Already in Chasing Stars production.
Joann,Enschede,NL,1,production_catalogue,high,Already in Chasing Stars production.
Joelia,Rotterdam,NL,1,production_catalogue,high,Already in Chasing Stars production.
Kaatje bij de Sluis,Blokzijl,NL,1,production_catalogue,high,Already in Chasing Stars production.
Karel 5,Utrecht,NL,1,production_catalogue,high,Already in Chasing Stars production.
La Provence,Driebergen,NL,1,production_catalogue,high,Already in Chasing Stars production.
Lars Amsterdam,Amsterdam,NL,1,production_catalogue,high,Already in Chasing Stars production.
Lizz,Gouda,NL,1,production_catalogue,high,Already in Chasing Stars production.
Lutum,Wijk bij Duurstede,NL,1,production_catalogue,high,Already in Chasing Stars production.
Maeve,Utrecht,NL,1,production_catalogue,high,Already in Chasing Stars production.
Marrees,Weert,NL,1,production_catalogue,high,Already in Chasing Stars production.
ML,Haarlem,NL,1,production_catalogue,high,Already in Chasing Stars production.
Monarh,Tilburg,NL,1,production_catalogue,high,Already in Chasing Stars production.
MOS,Amsterdam,NL,1,production_catalogue,high,Already in Chasing Stars production.
Nami,Cromvoirt,NL,1,production_catalogue,high,Already in Chasing Stars production.
Noor,Groningen,NL,1,production_catalogue,high,Already in Chasing Stars production.
Novaela,Delft,NL,1,production_catalogue,high,Already in Chasing Stars production.
O&O,Sint Willebrord,NL,1,production_catalogue,high,Already in Chasing Stars production.
Odille,Sint-Oedenrode,NL,1,production_catalogue,high,Already in Chasing Stars production.
Olde Marckt,Aalten,NL,1,production_catalogue,high,Already in Chasing Stars production.
One,Roermond,NL,1,production_catalogue,high,Already in Chasing Stars production.
Perceel,Capelle aan de Ijssel,NL,1,production_catalogue,high,Already in Chasing Stars production.
Pieters Restaurant,Bergambacht,NL,1,production_catalogue,high,Already in Chasing Stars production.
Ratatouille Food & Wine,Haarlem,NL,1,production_catalogue,high,Already in Chasing Stars production.
Restaurant 1857,Roosendaal,NL,1,production_catalogue,high,Already in Chasing Stars production.
Restaurant Affect,Zwolle,NL,1,production_catalogue,high,Already in Chasing Stars production.
Restaurant Atelier,Gulpen,NL,1,production_catalogue,high,Already in Chasing Stars production.
Restaurant Calva,Nootdorp,NL,1,production_catalogue,high,Already in Chasing Stars production.
Restaurant de Burgemeester,Linschoten,NL,1,production_catalogue,high,Already in Chasing Stars production.
Restaurant kasteel Heemstede,Houten,NL,1,production_catalogue,high,Already in Chasing Stars production.
Restaurant Showw,Amsterdam,NL,1,production_catalogue,high,Already in Chasing Stars production.
Restaurant Wolfslaar,Breda,NL,1,production_catalogue,high,Already in Chasing Stars production.
Rijks,Amsterdam,NL,1,production_catalogue,high,Already in Chasing Stars production.
Rijnzicht,Doornenburg,NL,1,production_catalogue,high,Already in Chasing Stars production.
Ron Gastrobar,Amsterdam,NL,1,production_catalogue,high,Already in Chasing Stars production.
Sabero,Leende,NL,1,production_catalogue,high,Already in Chasing Stars production.
Sense,Vught,NL,1,production_catalogue,high,Already in Chasing Stars production.
Sinne,Amsterdam,NL,1,production_catalogue,high,Already in Chasing Stars production.
Spetters,Breskens,NL,1,production_catalogue,high,Already in Chasing Stars production.
Studio,Maastricht,NL,1,production_catalogue,high,Already in Chasing Stars production.
t Amsterdammertje,Loenen aan de Vecht,NL,1,production_catalogue,high,Already in Chasing Stars production.
t Ganzenest,Rijswijk,NL,1,production_catalogue,high,Already in Chasing Stars production.
t Raedthuys,Duiven,NL,1,production_catalogue,high,Already in Chasing Stars production.
Tante Koosje,Loenen aan de Vecht,NL,1,production_catalogue,high,Already in Chasing Stars production.
The Millen,Rotterdam,NL,1,production_catalogue,high,Already in Chasing Stars production.
The White Room by Jacob Jan Boerma,Amsterdam,NL,1,production_catalogue,high,Already in Chasing Stars production.
Tout a Fait,Maastricht,NL,1,production_catalogue,high,Already in Chasing Stars production.
Triptyque,Wateringen,NL,1,production_catalogue,high,Already in Chasing Stars production.
Versaen,Ravenstein,NL,1,production_catalogue,high,Already in Chasing Stars production.
Vista,Willemstad,NL,1,production_catalogue,high,Already in Chasing Stars production.
Voltaire,Leersum,NL,1,production_catalogue,high,Already in Chasing Stars production.
Wiesen,Eindhoven,NL,1,production_catalogue,high,Already in Chasing Stars production.
Wils,Amsterdam,NL,1,production_catalogue,high,Already in Chasing Stars production.
Yamazato,Amsterdam,NL,1,production_catalogue,high,Already in Chasing Stars production.
Zarzo,Eindhoven,NL,1,production_catalogue,high,Already in Chasing Stars production.
Zeezout,Rotterdam,NL,1,production_catalogue,high,Already in Chasing Stars production.
Zenith,Apeldoorn,NL,1,production_catalogue,high,Already in Chasing Stars production.
Zoldering,Amsterdam,NL,1,production_catalogue,high,Already in Chasing Stars production.
Zout & Citroen,Oosterhout,NL,1,production_catalogue,high,Already in Chasing Stars production.
Merlet,Schoorl,NL,1,research_verified_missing,high,"Individually verified this pass, not yet in production."
Latour,Noordwijk aan Zee,NL,1,research_verified_missing,high,"Individually verified this pass, not yet in production."
Basiliek,Harderwijk,NL,1,research_verified_missing,high,"Individually verified this pass, not yet in production."
Restaurant Smink,Wolvega,NL,1,research_verified_missing,high,"Individually verified this pass, not yet in production."
De Vlindertuin,Zuidlaren,NL,1,research_verified_missing,high,"Individually verified this pass, not yet in production."
Noble Kitchen,Cromvoirt,NL,1,research_verified_missing,high,"Individually verified this pass, not yet in production."
De Woage,Gramsbergen,NL,1,research_verified_missing,medium-high,"Individually verified this pass, not yet in production."
De Swarte Ruijter,Holten,NL,1,research_verified_missing,high,"Individually verified this pass, not yet in production."
't Lansink,Hengelo,NL,1,research_verified_missing,high,"Individually verified this pass, not yet in production."
De Bloemenbeek,De Lutte,NL,1,research_verified_missing,high,"Individually verified this pass, not yet in production."
De Gieser Wildeman,Noordeloos,NL,1,research_verified_missing,high,"Individually verified this pass, not yet in production."
De Moerbei,Warmond,NL,1,research_verified_missing,high,"Individually verified this pass, not yet in production."
Bij Jef,Den Hoorn,NL,1,research_verified_missing,high,"Individually verified this pass, not yet in production."
Daalder,Amsterdam,NL,1,research_verified_missing,high,"Individually verified this pass, not yet in production."
Graphite by Peter Gast,Amsterdam,NL,1,research_verified_missing,high,"Individually verified this pass, not yet in production."
Zheng,The Hague,NL,1,research_verified_missing,high,"Individually verified this pass, not yet in production."
AIRrepublic,Cadzand,NL,1,research_verified_missing,high,"Individually verified this pass, not yet in production."
Pure C,Cadzand-Bad,NL,2,research_verified_missing,high,"Individually verified this pass, not yet in production."
