candidate_id,canonical_name,city,country_code,address,michelin_stars,city_id,latitude,longitude,coordinate_quality,google_place_id,hotel_id,inclusion_reason,notes
nl_003,Basiliek,Harderwijk,NL,"Vischmarkt 57, 3841 BE Harderwijk",1,7aef4999-82cc-4ffe-b4b3-4db5b04ed88a,52.3512612,5.6212898,VENUE_EXACT,,,michelin_star,
nl_015,Graphite by Peter Gast,Amsterdam,NL,"Paardenstraat 15III, 1017 CX Amsterdam",1,3736b37d-e6b0-4786-b427-e85f5a47be16,52.3664899,4.8982866,VENUE_EXACT,,,michelin_star,
nl_016,Zheng,The Hague,NL,"Prinsestraat 33, 2513 CA Den Haag",1,c74bc361-156b-41ca-a001-b5b607d3dd4a,52.0787602,4.3060842,VENUE_EXACT,,,michelin_star,
nl_014,Daalder,Amsterdam,NL,"Lindengracht 90, 1015 KK Amsterdam",1,3736b37d-e6b0-4786-b427-e85f5a47be16,52.3805171,4.8856647,ADDRESS_EXACT,,,michelin_star,
nl_001,Merlet,Schoorl,NL,"Duinweg 15, 1871 AC Schoorl",1,3c49ca2d-cfeb-414e-ae74-a796590fc2d0,52.6996668,4.6942853,PROPERTY_EXACT,,,michelin_star,
nl_002,Latour,Noordwijk aan Zee,NL,"Koningin Astrid Boulevard 5, 2202 BK Noordwijk aan Zee",1,53b58ee7-81d3-4685-a530-b0cb6303fd1b,52.2412489,4.4276191,VENUE_EXACT,,,michelin_star,"hotel relationship (Grand Hotel Huis ter Duin) plausible but unverified against production hotels catalogue -- not an import blocker"
nl_004,Restaurant Smink,Wolvega,NL,"Van Harenstraat 37, 8471 JC Wolvega",1,95567e78-4697-460c-9b80-6010ca8efba7,52.8753130,5.9995125,ADDRESS_EXACT,,,michelin_star,
nl_005,De Vlindertuin,Zuidlaren,NL,"Stationsweg 41, 9471 GK Zuidlaren",1,6af0130e-4adf-48c7-87c5-c40cdc94cb97,53.0925510,6.6801383,VENUE_EXACT,,,michelin_star,
nl_007,De Woage,Gramsbergen,NL,"Meiboomplein 1, 7783 AT Gramsbergen",1,43f2b224-6255-4776-b639-1d466ac312f9,52.6107177,6.6724803,VENUE_EXACT,,,michelin_star,"MICHELIN_STATUS_VOLATILITY -- recent Jan 2026 rebrand to 'Restobar De Woage'; recommend a fresh re-check immediately before actual restaurant import"
nl_008,De Swarte Ruijter,Holten,NL,"Holterbergweg 7, 7451 JL Holten",1,a4478d1b-aa0c-4d85-97f9-b041784998e8,52.2946330,6.4208221,PROPERTY_EXACT,,,michelin_star,"hotel relationship plausible but unverified against production hotels catalogue -- not an import blocker"
nl_009,'t Lansink,Hengelo,NL,"C.T. Storkstraat 18, Hengelo (Overijssel)",1,29c91a22-006f-4ed7-960a-0a57b5cb0cdc,52.2596727,6.7822588,PROPERTY_EXACT,,,michelin_star,"hotel relationship plausible but unverified against production hotels catalogue -- not an import blocker"
nl_010,De Bloemenbeek,De Lutte,NL,"Beuningerstraat 6, 7587 LD De Lutte",1,853d98f6-c3f6-4e28-9a9f-a9dcb671b3a1,52.3198876,6.9989749,PROPERTY_EXACT,,,michelin_star,"hotel relationship plausible but unverified against production hotels catalogue -- not an import blocker"
nl_011,De Gieser Wildeman,Noordeloos,NL,"Botersloot 1, 4225 PR Noordeloos",1,a6b0d1bb-8efa-40e1-8aad-f5823e531306,51.9016837,4.9392283,VENUE_EXACT,,,michelin_star,"OWNERSHIP_TRANSITION_RISK -- possible pending sale referenced in one source; current star status not in doubt"
nl_012,De Moerbei,Warmond,NL,"Dorpsstraat 5A, 2361 AK Warmond",1,27076b42-4d8d-4d1a-ada4-613596a981c2,52.1952490,4.5028113,VENUE_EXACT,,,michelin_star,"minor postcode discrepancy between source (2361 AK) and OSM (2361 CN) for the same street/number -- recommend correcting before import"
nl_013,Bij Jef,Den Hoorn,NL,"Herenstraat 34, 1797 AJ Den Hoorn, Texel",1,e604d26a-3798-40f8-850b-d41deb00711d,53.0247743,4.7498821,VENUE_EXACT,,,michelin_star,"hotel relationship plausible but unverified against production hotels catalogue -- not an import blocker"
