place_id,restaurant_code,restaurant_name,hotel_code,hotel_name,restaurant_lat,restaurant_lng,hotel_lat,hotel_lng,distance_m,appears_intentional,coordinates_should_match,recommended_correction,confidence,status
ChIJs1GkErW3xUcRlVjcvv_4TXs,rest_0021,Central Park,hotel_02,Central Park,52.059,4.3463,52.069951,4.369563,2002.9,yes - identical stored address string on both rows,"yes - both rows store the exact same address (""Oosteinde 14, 2271 EH Voorburg""), one building","Align rest_0021 latitude/longitude to hotel_02's value (52.069951,4.369563), which independently corroborates against the 2271 postcode centroid (52.072,4.369) found via WebSearch. Do not apply automatically.",medium-high,proposed
ChIJueerN-LowEcRt2mMhYhmkvk,rest_0022,Chateau Neercanne,hotel_13,Château Neercanne,50.828,5.6882,50.818737,5.667403,1787.5,yes - already 'Ratified' per project's own venues_to_check.csv,yes - one building,"Align rest_0022 latitude/longitude to hotel_13's value (50.818737,5.667403), confirmed against Wikipedia's independently sourced coordinates (50.8188833,5.6679306). Already proposed in p0_corrections.csv (MA-069). Do not apply automatically.",high,proposed
ChIJjZxWjQ-YpBIR_xbBOD9lZ1k,rest_0002,ABAC,hotel_537,ABaC Restaurant & Hotel,41.4145,2.1344,41.410635,2.136359,459.8,yes - restaurant operates inside the hotel building at a single confirmed address (Avinguda del Tibidabo 1),yes - one building,"Likely align rest_0002 to hotel_537's coordinates (same restaurant-inside-hotel pattern as the two rows above), but NOT independently geocode-confirmed which of the two values is correct in this session. Flag for human GPS verification before applying.",low-medium,unresolved
ChIJ06EAXoMIAWARJSzSIXIrZtU,rest_0498,Kanamean Nishitomiya,hotel_687,Kanamean Nishitomiya,35.006626,135.76478,35.006626,135.76478,0.0,yes,yes - identical (already matching),no correction needed,high,not_applicable
ChIJFZ0j07h9g0cRPSaha6nRsbc,rest_0254,Da Vittorio - St. Moritz,hotel_56,Carlton Hotel St. Moritz,46.499904,9.846402,46.499904,9.846402,0.0,yes,yes - identical (already matching),no correction needed,high,not_applicable
ChIJI0PeyImjgkcRar4w7mUaHAo,rest_0419,Terra The Magic Place,hotel_460,Terra - The Magic Place,46.651791,11.322479,46.651791,11.322479,0.0,yes,yes - identical (already matching),no correction needed,high,not_applicable
ChIJm1JTpdbfFQ0Rv2Lf-opFjX0,rest_0350,Atrio,hotel_480,Atrio Restaurante Hotel,39.473018,-6.371306,39.473018,-6.371306,0.0,yes,yes - identical (already matching),no correction needed,high,not_applicable
ChIJp7Y0v_e8hEcR1NRYGOEVwVA,rest_0240,La Brezza,hotel_59,Tschuggen Grand Hotel,46.777479,9.66933,46.777479,9.66933,0.0,yes,yes - identical (already matching),"no coordinate correction needed. NOTE: this restaurant's michelin_stars value is disputed - see la_brezza_arosa_verification.md, unrelated to this coordinate audit",high,not_applicable
ChIJuaITYqDgtEcReuFP9Veym8Y,rest_0227,Söl'ring Hof,hotel_118,Söl’ring Hof,54.853964,8.28795,54.853964,8.28795,0.0,yes,yes - identical (already matching),no correction needed,high,not_applicable
ChIJux1gOKjkhEcR85YGT1Tr8BI,rest_0258,7132 Silver,hotel_83,7132 Hotel,46.622522,9.181223,46.622522,9.181223,0.0,yes,yes - identical (already matching),no correction needed,high,not_applicable
