restaurant_code,restaurant_name_as_listed,year,rank,list_type,confidence,match_method,evidence_source,status
rest_0735,The French Laundry,2002,3,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2002 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0778,Little Washington,2002,23,top_50,medium,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2002 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0212,Tantris,2002,50,top_50,medium,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2002 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0735,The French Laundry,2003,1,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2003 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0766,Jean Georges,2003,4,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2003 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0327,Arpège,2003,6,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2003 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0380,Dal Pescatore,2003,35,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2003 list (past-lists archive), retrieved 2026-08-07; match note: Same venue (Canneto sull'Oglio); historical listings sometimes truncate to ""Canneto"".",proposed
rest_0384,Quattro Passi,2003,38,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2003 list (past-lists archive), retrieved 2026-08-07; match note: Same venue; Nerano (catalogue city) is a hamlet (frazione) of the municipality of Massa Lubrense (2003 listing city) on the Sorrentine peninsula.",proposed
rest_0335,Arzak,2003,40,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2003 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0381,Enoteca Pinchiorri,2003,44,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2003 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0735,The French Laundry,2004,1,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2004 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0766,Jean Georges,2004,18,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2004 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0335,Arzak,2004,22,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2004 list (past-lists archive), retrieved 2026-08-07",proposed
rest_0380,Dal Pescatore,2004,23,top_50,high,code_plus_country,"theworlds50best.com, The World's 50 Best Restaurants 2004 list (past-lists archive), retrieved 2026-08-07; match note: Same venue (Canneto sull'Oglio); historical listings sometimes truncate to ""Canneto"".",proposed
