hotel_code,candidate_id,name,city,country,address,latitude,longitude,google_place_id,michelin_url,website_url,booking_url,michelin_keys,key_status,key_evidence,inclusion_reason
hotel_688,p1_01,Aman Tokyo,Tokyo,Japan,"Otemachi Tower, 1-5-6 Otemachi, Chiyoda-ku, Tokyo, Japan",35.6855948,139.7653865,,,https://www.aman.com/hotels/aman-tokyo,,1,confirmed,Phase 1 research: medium-high (Japan-focused secondary sources covering the July 2024 Michelin Key Japan announcement; guide.michelin.com's own page exists but exact tier not independently re-confirmed via primary fetch),michelin_key_and_worlds_50_best
hotel_689,p1_02,Borgo Santandrea,Amalfi,Italy,"Via Giovanni Augustariccio, 33, Amalfi (SA), Italy",40.618989,14.576503,,,https://borgosantandrea.it/,,2,confirmed,Phase 1 research: high (guide.michelin.com's own description explicitly states 'awarded Two MICHELIN Keys'),michelin_key_and_worlds_50_best
hotel_690,p1_03,Bulgari Roma,Rome,Italy,"Piazza Augusto Imperatore, 10, Rome, Italy",41.9067205,12.4764749,,,https://www.bulgarihotels.com/en_US/rome/,,3,confirmed,Phase 1 research: high (hotel's own press page states this explicitly: 'Bvlgari Hotel Roma awarded 3 Keys from MICHELIN'),michelin_key_and_worlds_50_best
hotel_691,p1_04,Four Seasons Firenze,Florence,Italy,"Borgo Pinti, 99, Florence, Italy",43.7770174,11.2662841,,,,,3,confirmed,Phase 1 research: medium-high (found via a secondary 'Italy 3-Key hotels' aggregator listing; guide.michelin.com's own page for this hotel exists but exact Key count was not independently re-confirmed via a second primary-adjacent source),michelin_key_and_worlds_50_best
hotel_692,p1_05,Hoshinoya Tokyo,Tokyo,Japan,"1-9-1 Otemachi, Chiyoda-ku, Tokyo, Japan",35.6877316,139.7650363,,https://guide.michelin.com/us/en/hotels-stays/tokyo/hoshinoya-tokyo-9171,https://hoshinoresorts.com/en/hotels/hoshinoyatokyo/,,,unknown,Guide-listed; michelinkeyhotels.com labels it 'Selected' not a Key tier - genuinely unresolved,worlds_50_best
hotel_693,p1_06,Hotel Cipriani,Venice,Italy,"Giudecca, 10, Venice, Italy",45.4274609,12.340543,,,,,3,confirmed,Phase 1 research: high (guide.michelin.com's own description explicitly states 'Three MICHELIN Keys'... 'An extraordinary stay'),michelin_key_and_worlds_50_best
hotel_694,p1_07,Hotel Il Pellicano,Porto Ercole,Italy,"Località Sbarcatello S.n.c., Porto Ercole (GR), Italy",42.3737766,11.1875474,,,https://www.pellicanohotels.com/en/hotels/hotel-il-pellicano/,,1,confirmed,Phase 1 research: high (multiple independent sources including guide.michelin.com's own description and a dedicated 'One Michelin Key' secondary aggregator entry),michelin_key_and_worlds_50_best
hotel_695,p1_08,Hotel das Cataratas,Iguassu Falls,Brazil,"Rodovia das Cataratas / BR-469, Km 32, Foz do Iguaçu, Paraná, Brazil",-25.6840352,-54.4387373,,,https://www.belmond.com/hotels/south-america/brazil/iguassu-falls/belmond-hotel-das-cataratas/,,3,confirmed,Phase 1 research: high (guide.michelin.com's own description explicitly states 'rated with Three Michelin Keys... An extraordinary stay'),michelin_key_and_worlds_50_best
hotel_696,p1_09,Passalacqua,Moltrasio,Italy,"Via Antonio Besana, 59, Moltrasio (CO), Italy",45.8603116,9.0981867,,,https://www.passalacqua.it/en/,,3,confirmed,Phase 1 research: high (2 independent secondary sources + confirmed guide.michelin.com listing page exists; not yet cross-checked against a direct guide.michelin.com page fetch since the site blocks automated fetching),michelin_key_and_worlds_50_best
hotel_697,p1_10,Rosewood São Paulo,São Paulo,Brazil,"Rua Itapeva, 435, Bela Vista, São Paulo, SP, Brazil",-23.5601704,-46.6532464,,,,,3,confirmed,Phase 1 research: high (guide.michelin.com's own description explicitly states 'earned the prestigious Three Michelin Keys'),michelin_key_and_worlds_50_best
