hotel_code,name,city,country,address,postal_code,latitude,longitude,google_place_id,location_classification,geocode_source,geocode_notes,coordinate_validation_issues,website_url,michelin_url,michelin_keys,key_status,inclusion_reason
hotel_688,Aman Tokyo,Tokyo,Japan,"Otemachi Tower, 1-5-6 Otemachi, Chiyoda-ku, Tokyo, Japan",100-0004,35.6855948,139.7653865,,READY_HIGH,aman.com; Nominatim (name-matched),Two independent sources agree within ~30m,,https://www.aman.com/hotels/aman-tokyo,,1,confirmed,michelin_key_and_worlds_50_best
hotel_689,Borgo Santandrea,Amalfi,Italy,"Via Giovanni Augustariccio, 33, Amalfi (SA), Italy",84011,40.618989,14.576503,,READY_MEDIUM,borgosantandrea.it (address); Wanderlog (coordinates),"Coordinates from secondary aggregator, not official site or OSM directly — worth a second check",,https://borgosantandrea.it/,,2,confirmed,michelin_key_and_worlds_50_best
hotel_690,Bulgari Roma,Rome,Italy,"Piazza Augusto Imperatore, 10, Rome, Italy",00186,41.9067205,12.4764749,,READY_HIGH,bulgarihotels.com (address); Nominatim (name-matched),,,https://www.bulgarihotels.com/en_US/rome/,,3,confirmed,michelin_key_and_worlds_50_best
hotel_691,Four Seasons Firenze,Florence,Italy,"Borgo Pinti, 99, Florence, Italy",50121,43.7770174,11.2662841,,READY_HIGH,"Multiple travel sources (address, official site 403'd); Nominatim (name-matched)",,,,,3,confirmed,michelin_key_and_worlds_50_best
hotel_692,Hoshinoya Tokyo,Tokyo,Japan,"1-9-1 Otemachi, Chiyoda-ku, Tokyo, Japan",100-0004,35.6877316,139.7650363,,READY_HIGH,hoshinoresorts.com incl. own Google Maps short link,Strongest source tier — coords from Maps link embedded on hotel's own site,,https://hoshinoresorts.com/en/hotels/hoshinoyatokyo/,https://guide.michelin.com/us/en/hotels-stays/tokyo/hoshinoya-tokyo-9171,,unknown,worlds_50_best
hotel_693,Hotel Cipriani,Venice,Italy,"Giudecca, 10, Venice, Italy",30133,45.4274609,12.340543,,READY_HIGH,Multiple travel/press sources; Nominatim (name-matched),"No official website on file, identity unambiguous",,,,3,confirmed,michelin_key_and_worlds_50_best
hotel_694,Hotel Il Pellicano,Porto Ercole,Italy,"Località Sbarcatello S.n.c., Porto Ercole (GR), Italy",58019 (official) / 58018 (OSM),42.3737766,11.1875474,,READY_HIGH,pellicanohotels.com (address); Nominatim (name-matched),Minor 1-digit postal code discrepancy between sources,,https://www.pellicanohotels.com/en/hotels/hotel-il-pellicano/,,1,confirmed,michelin_key_and_worlds_50_best
hotel_695,Hotel das Cataratas,Iguassu Falls,Brazil,"Rodovia das Cataratas / BR-469, Km 32, Foz do Iguaçu, Paraná, Brazil",85855-750,-25.6840352,-54.4387373,,READY_HIGH,belmond.com (address); Nominatim (name-matched),,,https://www.belmond.com/hotels/south-america/brazil/iguassu-falls/belmond-hotel-das-cataratas/,,3,confirmed,michelin_key_and_worlds_50_best
hotel_696,Passalacqua,Moltrasio,Italy,"Via Antonio Besana, 59, Moltrasio (CO), Italy",22010,45.8603116,9.0981867,,READY_MEDIUM,"Third-party listings (address, official site 403'd); Nominatim (name-matched villa complex)","Coordinates for the historic villa/park complex, not an OSM node tagged ""hotel"" specifically — worth spot check",,https://www.passalacqua.it/en/,,3,confirmed,michelin_key_and_worlds_50_best
hotel_697,Rosewood São Paulo,São Paulo,Brazil,"Rua Itapeva, 435, Bela Vista, São Paulo, SP, Brazil",01332-000,-23.5601704,-46.6532464,,READY_MEDIUM,rosewoodhotels.com/sao-paulo/contact (address); Nominatim street-segment match,"Coordinates for a street segment matching postcode, not a building-specific POI",,,,3,confirmed,michelin_key_and_worlds_50_best
hotel_698,Six Senses Ibiza,Ibiza,Spain,"Carrer de Camí de sa Torre, 71, Portinatx, Sant Joan de Labritja, Eivissa, Spain",07810,39.1108344,1.5078208,,READY_HIGH,"Multiple travel sources (address, official site 403'd); Nominatim (name-matched)",,,https://www.sixsenses.com/en/hotels-resorts/europe/spain/ibiza/,https://guide.michelin.com/us/en/hotels-stays/ibiza/six-senses-ibiza-12071,,unknown,worlds_50_best
hotel_699,The Tokyo Edition Toranomon,Tokyo,Japan,"4-1-1 Toranomon, Minato City, Tokyo, Japan",105-0001,35.6653627,139.7451346,,READY_HIGH,"editionhotels.com contact page, embedded Google Maps link",Strongest source tier — coords from Maps link on hotel's own site,,https://www.editionhotels.com/tokyo-toranomon/,https://guide.michelin.com/us/en/hotels-stays/tokyo/the-tokyo-edition-toranomon-11656,,unknown,worlds_50_best
hotel_700,Capella Sydney,Sydney,Australia,"24 Loftus Street, Sydney, NSW, Australia",2000,-33.863648,151.2106852,,READY_HIGH,Multiple sources (address); Nominatim (name-matched),Building spans a full block (Loftus/Bridge/Young St) — OSM POI sits on Bridge St face of same building,,https://capellahotels.com/en/capella-sydney,https://guide.michelin.com/us/en/hotels-stays/sydney/capella-sydney-13134,1,confirmed,michelin_key_and_worlds_50_best
hotel_701,Southern Ocean Lodge,Kangaroo Island,Australia,"390 Hanson Bay Road, Kingscote, Kangaroo Island, SA, Australia",5223,-36.0178048,136.8330219,,READY_HIGH,Multiple travel sources (official site had no address); Nominatim (name-matched),"Rebuilt after 2020 bushfire, reopened 2023 — address/coords reflect current lodge",,https://southernoceanlodge.com.au/,https://guide.michelin.com/en/hotels-stays/kangaroo-island/southern-ocean-lodge-6254,2,confirmed,michelin_key_and_worlds_50_best
hotel_702,The Calile,Brisbane,Australia,"48 James Street, Fortitude Valley, QLD, Australia",4006,-27.4570511,153.0403122,,READY_HIGH,"thecalilehotel.com embedded Google Maps ""Find us"" link",Strongest source tier,,https://thecalilehotel.com/,https://guide.michelin.com/en/hotels-stays/brisbane/the-calile-hotel-brisbane-121812-11776,1,confirmed,michelin_key_and_worlds_50_best
hotel_703,The Tasman,Hobart,Australia,"12 Murray Street, Hobart, TAS, Australia",7000,-42.8848233,147.3299878,,READY_HIGH,Marriott official site + multiple travel sources; Nominatim (name-matched),One secondary source listed a different street (49a Davey St) — complex spans the block; 12 Murray St used by Marriott and most listings,,https://www.marriott.com/en-us/hotels/hbalc-the-tasman-a-luxury-collection-hotel-hobart/overview/,https://guide.michelin.com/us/en/hotels-stays/hobart/the-tasman-a-luxury-collection-hotel-hobart-12558,1,confirmed,michelin_key_and_worlds_50_best
hotel_704,Mandarin Oriental Qianmen,Beijing,China,"No.1 Caochang Alley (Hutong) 10, Dongcheng District, Beijing, China",100005,39.8946125,116.4034963,,READY_MEDIUM,Multiple travel/press sources (official site inaccessible); Nominatim street-level match,"Coordinates for the hutong/alley, not a building-specific POI",,https://www.mandarinoriental.com/en/beijing/qianmen,https://guide.michelin.com/us/en/hotels-stays/dongcheng/mandarin-oriental-qianmen-14975,,unknown,worlds_50_best
hotel_705,Four Seasons Tamarindo,La Manzanilla,Mexico,"Km 7.5, Carretera Federal 200, La Manzanilla, La Huerta, Jalisco, Mexico",48898,19.2559111,-104.8055278,,READY_HIGH,"Multiple travel sources (official site 403'd); Nominatim (name-matched ""Four Seasons Resort Tamarindo"")","Identity confirmed as Jalisco/Costalegre, Mexico property — explicitly NOT Costa Rica",,https://www.fourseasons.com/tamarindo/,,,unknown,worlds_50_best
