hotel_code,name,city,country,address,latitude,longitude,google_place_id,michelin_url,website_url,michelin_keys,key_status,inclusion_reason,location_classification
hotel_688,Aman Tokyo,Tokyo,Japan,"Otemachi Tower, 1-5-6 Otemachi, Chiyoda-ku, Tokyo, Japan",35.6855948,139.7653865,,,https://www.aman.com/hotels/aman-tokyo,1,confirmed,michelin_key_and_worlds_50_best,READY_HIGH
hotel_689,Borgo Santandrea,Amalfi,Italy,"Via Giovanni Augustariccio, 33, Amalfi (SA), Italy",40.618989,14.576503,,,https://borgosantandrea.it/,2,confirmed,michelin_key_and_worlds_50_best,READY_MEDIUM
hotel_690,Bulgari Roma,Rome,Italy,"Piazza Augusto Imperatore, 10, Rome, Italy",41.9067205,12.4764749,,,https://www.bulgarihotels.com/en_US/rome/,3,confirmed,michelin_key_and_worlds_50_best,READY_HIGH
hotel_691,Four Seasons Firenze,Florence,Italy,"Borgo Pinti, 99, Florence, Italy",43.7770174,11.2662841,,,,3,confirmed,michelin_key_and_worlds_50_best,READY_HIGH
hotel_692,Hoshinoya Tokyo,Tokyo,Japan,"1-9-1 Otemachi, Chiyoda-ku, Tokyo, Japan",35.6877316,139.7650363,,https://guide.michelin.com/us/en/hotels-stays/tokyo/hoshinoya-tokyo-9171,https://hoshinoresorts.com/en/hotels/hoshinoyatokyo/,,unknown,worlds_50_best,READY_HIGH
hotel_693,Hotel Cipriani,Venice,Italy,"Giudecca, 10, Venice, Italy",45.4274609,12.340543,,,,3,confirmed,michelin_key_and_worlds_50_best,READY_HIGH
hotel_694,Hotel Il Pellicano,Porto Ercole,Italy,"Località Sbarcatello S.n.c., Porto Ercole (GR), Italy",42.3737766,11.1875474,,,https://www.pellicanohotels.com/en/hotels/hotel-il-pellicano/,1,confirmed,michelin_key_and_worlds_50_best,READY_HIGH
hotel_695,Hotel das Cataratas,Iguassu Falls,Brazil,"Rodovia das Cataratas / BR-469, Km 32, Foz do Iguaçu, Paraná, Brazil",-25.6840352,-54.4387373,,,https://www.belmond.com/hotels/south-america/brazil/iguassu-falls/belmond-hotel-das-cataratas/,3,confirmed,michelin_key_and_worlds_50_best,READY_HIGH
hotel_696,Passalacqua,Moltrasio,Italy,"Via Antonio Besana, 59, Moltrasio (CO), Italy",45.8603116,9.0981867,,,https://www.passalacqua.it/en/,3,confirmed,michelin_key_and_worlds_50_best,READY_MEDIUM
hotel_697,Rosewood São Paulo,São Paulo,Brazil,"Rua Itapeva, 435, Bela Vista, São Paulo, SP, Brazil",-23.5601704,-46.6532464,,,,3,confirmed,michelin_key_and_worlds_50_best,READY_MEDIUM
hotel_698,Six Senses Ibiza,Ibiza,Spain,"Carrer de Camí de sa Torre, 71, Portinatx, Sant Joan de Labritja, Eivissa, Spain",39.1108344,1.5078208,,https://guide.michelin.com/us/en/hotels-stays/ibiza/six-senses-ibiza-12071,https://www.sixsenses.com/en/hotels-resorts/europe/spain/ibiza/,,unknown,worlds_50_best,READY_HIGH
hotel_699,The Tokyo Edition Toranomon,Tokyo,Japan,"4-1-1 Toranomon, Minato City, Tokyo, Japan",35.6653627,139.7451346,,https://guide.michelin.com/us/en/hotels-stays/tokyo/the-tokyo-edition-toranomon-11656,https://www.editionhotels.com/tokyo-toranomon/,,unknown,worlds_50_best,READY_HIGH
hotel_700,Capella Sydney,Sydney,Australia,"24 Loftus Street, Sydney, NSW, Australia",-33.863648,151.2106852,,https://guide.michelin.com/us/en/hotels-stays/sydney/capella-sydney-13134,https://capellahotels.com/en/capella-sydney,1,confirmed,michelin_key_and_worlds_50_best,READY_HIGH
hotel_701,Southern Ocean Lodge,Kangaroo Island,Australia,"390 Hanson Bay Road, Kingscote, Kangaroo Island, SA, Australia",-36.0178048,136.8330219,,https://guide.michelin.com/en/hotels-stays/kangaroo-island/southern-ocean-lodge-6254,https://southernoceanlodge.com.au/,2,confirmed,michelin_key_and_worlds_50_best,READY_HIGH
hotel_702,The Calile,Brisbane,Australia,"48 James Street, Fortitude Valley, QLD, Australia",-27.4570511,153.0403122,,https://guide.michelin.com/en/hotels-stays/brisbane/the-calile-hotel-brisbane-121812-11776,https://thecalilehotel.com/,1,confirmed,michelin_key_and_worlds_50_best,READY_HIGH
hotel_703,The Tasman,Hobart,Australia,"12 Murray Street, Hobart, TAS, Australia",-42.8848233,147.3299878,,https://guide.michelin.com/us/en/hotels-stays/hobart/the-tasman-a-luxury-collection-hotel-hobart-12558,https://www.marriott.com/en-us/hotels/hbalc-the-tasman-a-luxury-collection-hotel-hobart/overview/,1,confirmed,michelin_key_and_worlds_50_best,READY_HIGH
hotel_704,Mandarin Oriental Qianmen,Beijing,China,"No.1 Caochang Alley (Hutong) 10, Dongcheng District, Beijing, China",39.8946125,116.4034963,,https://guide.michelin.com/us/en/hotels-stays/dongcheng/mandarin-oriental-qianmen-14975,https://www.mandarinoriental.com/en/beijing/qianmen,,unknown,worlds_50_best,READY_MEDIUM
hotel_705,Four Seasons Tamarindo,La Manzanilla,Mexico,"Km 7.5, Carretera Federal 200, La Manzanilla, La Huerta, Jalisco, Mexico",19.2559111,-104.8055278,,,https://www.fourseasons.com/tamarindo/,,unknown,worlds_50_best,READY_HIGH
hotel_707,Cheval Blanc Paris,Paris,France,"8 Quai du Louvre, Paris",48.858857,2.342179,,https://guide.michelin.com/is/en/hotels-stays/paris/cheval-blanc-paris-dior-spa-cheval-blanc-paris-12286,https://www.chevalblanc.com/en/maison/paris/,3,confirmed,michelin_key_and_worlds_50_best,READY_HIGH
hotel_708,Hôtel de Crillon,Paris,France,"10 Place de la Concorde, Paris",48.867622,2.321367,,https://guide.michelin.com/hu/en/hotels-stays/paris/hotel-de-crillon-a-rosewood-hotel-2951,https://www.rosewoodhotels.com/en/hotel-de-crillon,2,confirmed,michelin_key_and_worlds_50_best,READY_HIGH
hotel_709,Hôtel du Cap-Eden-Roc,Antibes,France,"165 Boulevard John Fitzgerald Kennedy, Cap d'Antibes, Antibes",43.548449,7.121575,,https://guide.michelin.com/us/en/hotels-stays/antibes/hotel-du-cap-eden-roc-13557,https://www.hotel-du-cap-eden-roc.com,3,confirmed,michelin_key_and_worlds_50_best,READY_HIGH
hotel_710,Hôtel du Couvent,Nice,France,"1 Rue Honoré Ugo, Nice",43.697272,7.278788,,https://guide.michelin.com/h/14057,https://www.hotelducouvent.com,1,confirmed,michelin_key_and_worlds_50_best,READY_HIGH
hotel_711,La Réserve Paris,Paris,France,"42 Avenue Gabriel (fronts 1 Rue du Cirque), Paris",48.869728,2.313341,,https://guide.michelin.com/h/8898,https://www.lareserve-paris.com,3,confirmed,michelin_key_and_worlds_50_best,READY_HIGH
hotel_712,Le Bristol Paris,Paris,France,"112 Rue du Faubourg Saint-Honoré, Paris",48.871827,2.315008,,https://guide.michelin.com/sg/en/hotels-stays/paris/le-bristol-paris-6509,https://www.oetkercollection.com/hotels/le-bristol-paris/,3,confirmed,michelin_key_and_worlds_50_best,READY_HIGH
hotel_713,Plaza Athénée,Paris,France,"25 Avenue Montaigne, Paris",48.866382,2.303893,,https://guide.michelin.com/h/6010,https://www.dorchestercollection.com/en/paris/hotel-plaza-athenee/,3,confirmed,michelin_key_and_worlds_50_best,READY_HIGH
hotel_714,The Maybourne Riviera,Roquebrune-Cap-Martin,France,"1551 Route de la Turbie, Roquebrune-Cap-Martin",43.756432,7.443783,,https://guide.michelin.com/h/12783,https://www.maybourne.com/en/hotels/the-maybourne-riviera,2,confirmed,michelin_key_and_worlds_50_best,READY_HIGH
hotel_716,Four Seasons Astir Palace Hotel Athens,Athens,Greece,"40 Apollonos Street, Vouliagmeni, Athens",37.805199,23.771217,,https://guide.michelin.com/en/hotels-stays/athens/four-seasons-astir-palace-12274,https://www.fourseasons.com/athens/,3,confirmed,michelin_key_and_worlds_50_best,READY_HIGH
hotel_717,Four Seasons Hong Kong,Hong Kong,Hong Kong,"8 Finance Street, Central, Hong Kong",22.286626,114.156663,,https://guide.michelin.com/us/en/hotels-stays/hong-kong-island/four-seasons-hotel-hong-kong-7373,https://en.fourseasonshk.com/,1,confirmed,michelin_key_and_worlds_50_best,READY_HIGH
