year,rank,list_type,hotel_name_as_listed,city_as_listed,country_as_listed,classification,reason,country_in_catalogue,candidate_hotel_code,candidate_hotel_name,candidate_score
2023,1,top_50,Passalacqua,Moltrasio,Italy,UNMATCHED,Same as above - not present under any name.,True,hotel_421,Casa Clàt,0.5
2023,2,top_50,Rosewood Hong Kong,Hong Kong,Hong Kong,UNMATCHED,"Country 'Hong Kong' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2023,3,top_50,Four Seasons Bangkok at Chao Phraya River,Bangkok,Thailand,UNMATCHED,"Country 'Thailand' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2023,4,top_50,The Upper House,Hong Kong,Hong Kong,UNMATCHED,"Country 'Hong Kong' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2023,5,top_50,Aman Tokyo,Tokyo,Japan,UNMATCHED,"Distinct from catalogue's ""Aman Kyoto"" - same brand, different city/property. Notable gap: ranked top-10 in 2023 and 2025, appears all 3 years.",True,hotel_679,Aman Kyoto,0.8
2023,6,top_50,La Mamounia,Marrakech,Morocco,UNMATCHED,"Country 'Morocco' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2023,7,top_50,Soneva Fushi,Eydhafushi,Maldives,UNMATCHED,"Country 'Maldives' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2023,8,top_50,One&Only Mandarina,Riviera Nayarit,Mexico,UNMATCHED,"Country 'Mexico' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
2023,9,top_50,Four Seasons Hotel Firenze,Florence,Italy,UNMATCHED,"Direct catalogue search for ""Firenze""/""Florence"" returns only ""The Place Firenze"" and ""Riva Lofts Florence"", neither is Four Seasons - not present. Notable gap: appears all 3 years, top-10 twice.",True,hotel_347,Grand Hotel Miramare,0.565
2023,10,top_50,Mandarin Oriental Bangkok,Bangkok,Thailand,UNMATCHED,"Country 'Thailand' is not represented in the current 687-hotel catalogue at all (21 countries covered total) - structural non-coverage, not a specific-hotel gap",False,,,0.0
