restaurant_code,name,google_record_name,address,lat,lon,google_place_id,record_type,year,rank,list_type,proximity_check,cuisine,certainty
rest_1369,Alcalde,Restaurante Alcalde,"Av. México 2903, Vallarta Nte., 44690 Guadalajara, Jal., Mexico",20.6793273,-103.3897964,ChIJSxhI0W6uKIQRLbizqZhTQuQ,"establishment,food,point_of_interest,restaurant",2025,51,extended_51_100,clean (nothing within 500m),TBD - phase 2,confirmed
rest_1370,El Chato,El Chato,"Cl. 65 #4-76, Chapinero, Alto, Bogotá, Colombia",4.647952099999999,-74.057071,ChIJQclc-kSaP44RJgBygHivOB4,"establishment,food,point_of_interest,restaurant",2025,54,extended_51_100,clean (nothing within 500m),TBD - phase 2,confirmed
rest_1371,La Colombe,La Colombe Restaurant,"Silvermist Wine Estate, Main Road, Constantia Nek, Cape Town, 7806, South Africa",-34.0151706,18.4033113,ChIJCWq-g2FCzB0R4RYvykSREW4,"establishment,food,point_of_interest,restaurant",2025,55,extended_51_100,clean (nothing within 500m),TBD - phase 2,confirmed
rest_1372,Onjium,Onjium,"South Korea, Seoul, Jongno District, Hyoja-ro, 49 4층",37.5804867,126.9733488,ChIJk5DRDD2jfDURUA4aAk0Frx0,"establishment,food,point_of_interest,restaurant",2025,57,extended_51_100,clean (nothing within 500m),TBD - phase 2,confirmed
rest_1373,Nobelhart & Schmutzig,Nobelhart & Schmutzig,"Friedrichstraße 218, 10969 Berlin-Bezirk Friedrichshain-Kreuzberg, Germany",52.5053369,13.3904178,ChIJNdtTjdNRqEcR-n4Xa0Y92G4,"establishment,food,point_of_interest,restaurant",2025,59,extended_51_100,"nearest existing: Tim Raue 188.2m -- confirmed different venue, user-approved",TBD - phase 2,confirmed
rest_1374,Nuema,NUEMA,"Bello Horizonte E11-12 y, 170517 Quito, Ecuador",-0.1981897,-78.4825583,ChIJ8Wv4QnmZ1ZERpY0fkRPP5fE,"establishment,food,point_of_interest,restaurant",2025,61,extended_51_100,clean (nothing within 500m),TBD - phase 2,confirmed
rest_1375,Fu He Hui,Fu He Hui,"1037 Yu Yuan Lu, Chang Ning Qu, Shang Hai Shi, China, 200085",31.2186213,121.4296926,ChIJNZenaONlsjURk5lrxUnMSZU,"establishment,food,point_of_interest,restaurant",2025,64,extended_51_100,clean (nothing within 500m),TBD - phase 2,confirmed
rest_1376,Saint Peter,Saint Peter at The Grand National Hotel,"161 Underwood St, Paddington NSW 2021, Australia",-33.8863741,151.2318567,ChIJ9-UbWgauEmsRa9hUtKIjdN4,"establishment,food,point_of_interest,restaurant",2025,66,extended_51_100,clean (nothing within 500m),TBD - phase 2,confirmed
rest_1377,Arca,ARCA,"Carr. Tulum-Boca Paila km 7.6, Tulum Beach, 77780 Tulum, Q.R., Mexico",20.1495855,-87.45958999999999,ChIJJ-ohbMvQT48RUyLPOYlArC0,"bar,establishment,food,point_of_interest,restaurant",2025,67,extended_51_100,clean (nothing within 500m),TBD - phase 2,confirmed
rest_1378,Masque,Masque,"Masque, Unit G3, Shree Laxmi Woollen Mills, Shakti Mills Ln, off Doctor Elijah Moses Road, Mahalakshmi, Mumbai, Maharashtra 400018, India",18.9898258,72.8256177,ChIJ2RdH8orO5zsR9j_YJgVbG64,"establishment,food,point_of_interest,restaurant",2025,68,extended_51_100,clean (nothing within 500m),TBD - phase 2,confirmed
rest_1379,Tuju,TUJU,"R. Frei Galvão, 135 - Jardim Paulistano, São Paulo - SP, 01454-060, Brazil",-23.58046,-46.6858278,ChIJm2pQ-1dXzpQRLcFNxi6yWeI,"establishment,food,point_of_interest,restaurant",2025,70,extended_51_100,clean (nothing within 500m),TBD - phase 2,confirmed
rest_1380,Mountain,Mountain Beak Street,"16-18 Beak St, London W1F 9RD, UK",51.5120181,-0.1382302,ChIJGXGPYsEFdkgRAIIfSSET698,"establishment,food,point_of_interest,restaurant",2025,74,extended_51_100,clean (nothing within 500m),TBD - phase 2,confirmed
rest_1381,Mil,MIL Centro - Food Lab and Interpretation Center,"Vía a Moray, Maras 08655, Peru",-13.3327468,-72.1967971,ChIJ44w-0C3DbZERMiSuC6LNweo,"establishment,food,point_of_interest,restaurant",2025,75,extended_51_100,clean (nothing within 500m),TBD - phase 2,confirmed
rest_1382,Leo,Leo,"Cl. 65 Bis #4-23, Bogotá, Colombia",4.648031599999999,-74.0564373,ChIJf0x6pJuZP44RbF-3kBjiZLs,"establishment,food,point_of_interest,restaurant",2025,76,extended_51_100,clean (nothing within 500m),TBD - phase 2,confirmed
rest_1383,Le Doyenne,Le Doyenné,"5 Rue Saint-Antoine, 91770 Saint-Vrain, France",48.5375511,2.3261406,ChIJFddyE7rb5UcRaA53AIRo_gw,"establishment,food,point_of_interest,restaurant",2025,77,extended_51_100,clean (nothing within 500m),TBD - phase 2,confirmed
rest_1384,Oteque,Oteque,"Rua Conde de Irajá, 581 - Botafogo, Rio de Janeiro - RJ, 22271-020, Brazil",-22.9574723,-43.1943018,ChIJd30eZgB_mQAR-KdRFwN99rE,"establishment,food,point_of_interest,restaurant",2025,81,extended_51_100,clean (nothing within 500m),TBD - phase 2,confirmed
rest_1385,Fyn,Fyn Restaurant,"5th Floor, Speakers Corner, 37 Parliament St, Cape Town City Centre, Cape Town, 8001, South Africa",-33.924723,18.4218031,ChIJJXjP9dFnzB0RKRtezQrweYM,"establishment,food,point_of_interest,restaurant",2025,82,extended_51_100,clean (nothing within 500m),TBD - phase 2,confirmed
rest_1386,A Casa do Porco,A Casa do Porco Bar,"R. Araújo, 124 - República, São Paulo - SP, 01220-020, Brazil",-23.5449136,-46.6447336,ChIJK76a5E5YzpQRCoY7nm1M3-k,"establishment,food,point_of_interest,restaurant",2025,83,extended_51_100,clean (nothing within 500m),TBD - phase 2,confirmed
