code,name,google_record_name,address,lat,lon,google_place_id,record_type,year,rank,list_type,proximity_check,cuisine,certainty
hotel_782,One&Only Mandarina,One&Only Mandarina,"Carretera Federal Libre 200 Tepic-Puerto Vallarta Municipio de Compostela El Monteón, 63724 Nayari, Nay., Mexico",20.9778543,-105.3309758,ChIJxV2Ai0UjIYQR8UGO_35AXXE,"establishment,lodging,point_of_interest",2026,23,top_50,clean,n/a,confirmed
hotel_783,The Peninsula Istanbul,The Peninsula Istanbul,"Kemankeş Karamustafa Paşa, Kemankeş Cd. No:34, 34425 Beyoğlu/İstanbul, Türkiye",41.0230125,28.9779274,ChIJm8vQkZm5yhQRYZFcCnD4NS0,"establishment,lodging,point_of_interest",2026,31,top_50,clean,n/a,confirmed
hotel_784,San Domenico Palace,"San Domenico Palace, Taormina, A Four Seasons Hotel","Via S. Domenico, 5, 98039 Taormina ME, Italy",37.8502041,15.2834895,ChIJDVC2m6QRFBMRpO4vM4lfaAs,"establishment,health,lodging,point_of_interest,spa",2026,50,top_50,clean,n/a,confirmed
hotel_785,Park Hyatt Tokyo,Park Hyatt Tokyo,"2, 3-chōme-7-1 Nishishinjuku, Shinjuku City, Tokyo 163-1055, Japan",35.6862131,139.6904828,ChIJJ7La1yzzGGARln2OypSj2Cw,"establishment,lodging,point_of_interest",2026,53,extended_51_100,clean,n/a,confirmed
hotel_786,Rosewood London,Rosewood London,"252 High Holborn, London WC1V 7EN, UK",51.51737439999999,-0.1175009,ChIJi-8-gTUbdkgRvgRcAHEwuyc,"bar,establishment,food,gym,health,lodging,point_of_interest,restaurant,spa",2026,56,extended_51_100,clean,n/a,confirmed
hotel_787,Castiglion del Bosco,"Castiglion del Bosco, A Rosewood Hotel","SP103, 53024 Castiglion del Bosco SI, Italy",43.0839873,11.4222631,ChIJi-QTUe15KRMRL-ZzRTvxbkA,"establishment,lodging,point_of_interest",2026,62,extended_51_100,clean,n/a,confirmed
hotel_788,Sofitel Legend Casco Viejo,Sofitel Legend Casco Viejo - Panama City,"C. 1a Oeste, Panamá, Provincia de Panamá, Panama",8.951455,-79.53205779999999,ChIJr_tNuXuvrI8RnuNWZzAsEiY,"establishment,lodging,point_of_interest",2026,63,extended_51_100,clean,n/a,confirmed
hotel_789,Orient Express La Minerva,Orient Express La Minerva,"Piazza della Minerva, 69, 00186 Roma RM, Italy",41.8977272,12.4775802,ChIJJU2bDU5gLxMRfoPUpIkerKU,"establishment,lodging,point_of_interest",2026,66,extended_51_100,"nearby hotels checked, confirmed different property",n/a,confirmed
hotel_790,Forestis Dolomites,Forestis Dolomites,"Palmschoß 22, 39042 Bressanone BZ, Italy",46.6757557,11.7100308,ChIJUzkj65AQeEcRKXSK0ZN3uS8,"establishment,lodging,point_of_interest",2026,68,extended_51_100,clean,n/a,confirmed
hotel_791,Ritz Paris,Ritz Paris,"15 Pl. Vendôme, 75001 Paris, France",48.8680987,2.3288932,ChIJVSOS5FBv5kcRmaCCdrMCfk4,"establishment,lodging,point_of_interest",2026,72,extended_51_100,clean,n/a,confirmed
hotel_792,Palace Hotel Tokyo,Palace Hotel Tokyo,"1-chōme-1-1 Marunouchi, Chiyoda City, Tokyo 100-0005, Japan",35.6845024,139.7612295,ChIJq0s44BuMGGARvBtm78mmRRg,"establishment,lodging,point_of_interest",2026,73,extended_51_100,"nearby hotels checked, confirmed different property",n/a,confirmed
hotel_793,Carlton Cannes,Regent Carlton Cannes,"58 Bd de la Croisette, 06400 Cannes, France",43.54973700000001,7.0272836,ChIJZykAMpaBzhIRJkI13XQDqHw,"establishment,food,health,lodging,point_of_interest,restaurant,spa",2026,80,extended_51_100,clean,n/a,confirmed
hotel_794,Capella Hanoi,Capella Hanoi,"11 P. Lê Phụng Hiểu, French Quarter, Hoàn Kiếm, Hà Nội 100000, Vietnam",21.0257164,105.8566886,ChIJeysLiz2rNTER3KKgUoOxxUQ,"establishment,lodging,point_of_interest",2026,81,extended_51_100,clean,n/a,confirmed
hotel_795,Waldorf Astoria Osaka,Waldorf Astoria Osaka,"5-54 Ōfukachō, Kita Ward, Osaka, 530-0011, Japan",34.702993,135.4915437,ChIJ5YDVAwDnAGARnv2oTYJOmo0,"establishment,lodging,point_of_interest,spa",2026,89,extended_51_100,"nearby hotels checked, confirmed different property",n/a,confirmed
hotel_796,Mandarin Oriental Shenzhen,Mandarin Oriental Shenzhen,"Block A UpperHills No, 5001 Huang Gang Lu, Fu Tian Qu, Shen Zhen Shi, Guang Dong Sheng, China, 518026",22.5575267,114.0712503,ChIJM2YptGn0AzQR-pilfJW8YTg,"establishment,lodging,point_of_interest",2026,90,extended_51_100,clean,n/a,confirmed
hotel_797,Villa Treville,Villa TreVille,"Via Arienzo, 30, 84017 Positano SA, Italy",40.62645750000001,14.496936,ChIJi5eLcRaXOxMRqoj0BLPrGyE,"establishment,lodging,point_of_interest,spa",2026,91,extended_51_100,clean,n/a,confirmed
hotel_798,Wynn Palace,Wynn Palace,"Av. da Nave Desportiva, Macao",22.1476213,113.5714287,ChIJQ0Jd-QJwATQRHok4K_ZwSZA,"establishment,lodging,point_of_interest",2026,96,extended_51_100,clean,n/a,confirmed
hotel_799,The Oberoi Udaivilas,"The Oberoi Udaivilas, Udaipur","HMGC+VVV, Badi-Gorela-Mulla Talai Rd, Haridas Ji Ki Magri, Pichola, Udaipur, Rajasthan 313004, India",24.5773827,73.67244120000001,ChIJ8-KpToDPbDkRmn78-WuA6yE,"bar,establishment,food,lodging,point_of_interest,restaurant,spa",2026,98,extended_51_100,clean,n/a,confirmed
