link_id,hotel_code,hotel_name,restaurant_code,restaurant_name,michelin_stars,link_confidence,evidence,hotel_address,restaurant_address,hotel_city,restaurant_city,country
link_0001,hotel_02,Central Park,rest_0021,Central Park,1,Exact,"street, number and postcode identical","Oosteinde 14, 2271 EH Voorburg","Oosteinde 14, 2271 EH Voorburg",Voorburg,Voorburg,Netherlands
link_0002,hotel_03,The Dylan,rest_0114,Vinkeles,2,Exact,"street, number and postcode identical","Keizersgracht 384, 1016 GA Amsterdam","Keizersgracht 384, 1016 GA Amsterdam",Amsterdam,Amsterdam,Netherlands
link_0003,hotel_13,Château Neercanne,rest_0022,Chateau Neercanne,1,Exact,"street, number and postcode identical","Von Dopfflaan 10, 6213 NG Maastricht","Von Dopfflaan 10, 6213 NG Maastricht",Maastricht,Maastricht,Netherlands
link_0004,hotel_14,TwentySeven,rest_0016,Bougainville,1,Exact,"user confirmation 28 July 2026 that Bougainville is the restaurant of the TwentySeven hotel; same street and postcode, different number (hotel 27, restaurant 9)","Dam 27, 1012 JS Amsterdam","Dam 9, 1012 JS Amsterdam",Amsterdam,Amsterdam,Netherlands
link_0005,hotel_17,De L'Europe,rest_0047,Flore,2,Exact,"street, number and postcode identical","Nieuwe Doelenstraat 2-14, 1012 CP Amsterdam","Nieuwe Doelenstraat 2-14, 1012 CP Amsterdam",Amsterdam,Amsterdam,Netherlands
link_0006,hotel_18,Botanic Sanctuary Antwerp,rest_0159,Hertog Jan at Botanic,2,Exact,"street, number and postcode identical","Leopoldstraat 26, 2000 Antwerpen","Leopoldstraat 26, 2000 Antwerpen",Antwerp,Antwerp,Belgium
link_0007,hotel_151,La Butte aux Bois,rest_0167,Ralf Berendsen,2,Exact,"street, number and postcode identical; city values differ (Lanaken / Neerharen)","Paalsteenlaan 90, 3620 Lanaken","Paalsteenlaan 90, 3620 Lanaken",Lanaken,Neerharen,Belgium
link_0008,hotel_23,Hotel Bareiss,rest_0175,Restaurant Bareiss,3,Exact,"street, number and postcode identical","Hermine-Bareiss-Weg 1, 72270 Baiersbronn-Mitteltal","Hermine-Bareiss-Weg 1, 72270 Baiersbronn-Mitteltal",Baiersbronn,Baiersbronn,Germany
link_0009,hotel_24,Hotel Traube Tonbach,rest_0176,Schwarzwaldstube,3,Exact,"street, number and postcode identical","Tonbachstraße 237, 72270 Baiersbronn-Tonbach","Tonbachstraße 237, 72270 Baiersbronn-Tonbach",Baiersbronn,Baiersbronn,Germany
link_0010,hotel_25,Schloss Elmau Luxury Spa Retreat & Cultural Hideaway,rest_0207,IKIGAI,2,Exact,"street, number and postcode identical; city values differ (Elmau / Krün)","In Elmau 2, 82493 Krün","In Elmau 2, 82493 Krün",Elmau,Krün,Germany
link_0011,hotel_26,Hotel Vier Jahreszeiten,rest_0180,Restaurant Haerlin,3,Exact,"street, number and postcode identical","Neuer Jungfernstieg 9-14, 20354 Hamburg","Neuer Jungfernstieg 9-14, 20354 Hamburg",Hamburg,Hamburg,Germany
link_0012,hotel_27,The Fontenay,rest_0200,Lakeside,2,Exact,"street, number and postcode identical","Fontenay 10, 20354 Hamburg","Fontenay 10, 20354 Hamburg",Hamburg,Hamburg,Germany
link_0013,hotel_89,Kempinski Hotel Berchtesgaden,rest_0188,PUR,2,Exact,"street, number and postcode identical","Hintereck 1, 83471 Berchtesgaden","Hintereck 1, 83471 Berchtesgaden",Berchtesgaden,Berchtesgaden,Germany
link_0014,hotel_95,Hotel Ketschauer Hof,rest_0194,L.A. Jordan,2,Exact,"street, number and postcode identical","Ketschauerhofstraße 1, 67146 Deidesheim","Ketschauerhofstraße 1, 67146 Deidesheim",Deidesheim,Deidesheim,Germany
link_0015,hotel_101,Vitalhotel Alter Meierhof,rest_0197,Meierei Dirk Luther,2,Exact,"street, number and postcode identical","Uferstraße 1, 24960 Glücksburg","Uferstraße 1, 24960 Glücksburg-Meierwik",Glücksburg,Glücksburg,Germany
link_0016,hotel_103,Das Achental Resort,rest_0179,ES:SENZ,3,Exact,"street, number and postcode identical","Mietenkamer Straße 65, 83224 Grassau","Mietenkamer Str. 65, 83224 Grassau-Grafing",Grassau,Grassau,Germany
link_0017,hotel_113,Parkhotel Egerner Höfe,rest_0219,Gourmetrestaurant Dichter,2,Exact,"street, number and postcode identical","Aribostraße 19-26, 83700 Rottach-Egern","Aribostraße 19, 83700 Rottach-Egern",Rottach-Egern,Rottach-Egern,Germany
link_0018,hotel_114,Esplanade Saarbrücken,rest_0221,Esplanade,2,Exact,"street, number and postcode identical","Nauwieserstraße 5, 66111 Saarbrücken","Nauwieserstraße 5, 66111 Saarbrücken",Saarbrücken,Saarbrücken,Germany
link_0019,hotel_115,La Maison,rest_0223,LOUIS restaurant,2,Exact,"street, number and postcode identical","Prälat-Subtil-Ring 22, 66740 Saarlouis","Prälat-Subtil-Ring 22, 66740 Saarlouis",Saarlouis,Saarlouis,Germany
link_0020,hotel_118,Söl’ring Hof,rest_0227,Söl'ring Hof,2,Exact,"street, number and postcode identical; city values differ (Sylt / Sylt/Rantum)","Am Sandwall 1, 25980 Sylt","Am Sandwall 1, 25980 Sylt",Sylt,Sylt/Rantum,Germany
link_0021,hotel_163,The Mandala Hotel,rest_0191,FACIL,2,Exact,"street, number and postcode identical","Potsdamer Straße 3, 10785 Berlin","Potsdamer Str. 3, 10785 Berlin",Berlin,Berlin,Germany
link_0022,hotel_179,RIVA - Das Hotel am Bodensee,rest_0206,Ophelia,2,Exact,"street, number and postcode identical","Seestraße 25, 78464 Konstanz","Seestraße 25, 78464 Konstanz",Konstanz,Konstanz,Germany
link_0023,hotel_182,Der Birkenhof Spa & Genuss Resort,rest_0215,Obendorfers Eisvogel,2,Exact,"street, number and postcode identical","Hofenstetten 55, 92431 Neunburg vorm Wald","Hofenstetten 55, 92431 Neunburg vorm Wald",Neunburg vorm Wald,Neunburg vorm Wald,Germany
link_0024,hotel_197,Hotel Oswald Gourmet & Spa,rest_0228,Oswald's Gourmetstube,2,Exact,"street, number and postcode identical; city values differ (Kaikenried / Teisnach)","Am Platzl 2, 94244 Teisnach-Kaikenried","Am Platzl 2, 94244 Teisnach-Kaikenried",Kaikenried,Teisnach,Germany
link_0025,hotel_251,Hotel Dollenberg,rest_0218,Le Pavillon,2,Exact,"street, number and postcode identical","Dollenberg 3, 77740 Bad Peterstal-Griesbach","Dollenberg 3, 77740 Bad Peterstal-Griesbach",Bad Peterstal-Griesbach,Bad Peterstal-Griesbach,Germany
link_0026,hotel_256,The Ritz-Carlton Wolfsburg,rest_0186,Aqua,3,Exact,"street, number and postcode identical","Parkstraße 1, 38440 Wolfsburg","Parkstraße 1, 38440 Wolfsburg-Sonderbezirk",Wolfsburg,Wolfsburg,Germany
link_0027,hotel_40,Hotel Tannenhof,rest_0277,Gourmetrestaurant Tannenhof,2,Exact,"street, number and postcode identical","Nassereinerstraße 98, 6580 St. Anton am Arlberg","Nassereinerstraße 98, 6580 St. Anton am Arlberg",St. Anton am Arlberg,St. Anton am Arlberg,Austria
