id,hotel_code,name,michelin_keys,city,country,country_flag,address,latitude,longitude,google_place_id,michelin_url,website_url,booking_url,google_maps_url,worlds_50_best_rank,worlds_50_best_year
,hotel_01,Pulitzer Amsterdam,1,Amsterdam,Netherlands,🇳🇱,"Prinsengracht 323, 1016 GZ Amsterdam",52.372878,4.883357,ChIJDY8OYsMJxkcRNqaKHHoTNFQ,https://guide.michelin.com/en/hotels-stays/amsterdam/hotel-pulitzer-amsterdam-8062,https://www.pulitzeramsterdam.com/nl/,https://www.pulitzeramsterdam.com/nl/boek-een-kamer/#/booking/step-1?data=('h6hd!'pulitzer'~a5dt*fs-~r6at!2~cn!0~cg-~al3po*co*gp*rn4ry*rk*re-~rr*ss4ax!0~cy*ds!('p5ls*as*st*h5ee.)~my3s5c5ne.)*.~-1].!null1![3!false~4-)]~5e*6s1('65431.-*_,https://www.google.com/maps/place/?q=place_id:ChIJDY8OYsMJxkcRNqaKHHoTNFQ,,
,hotel_02,Central Park,1,Voorburg,Netherlands,🇳🇱,"Oosteinde 14, 2271 EH Voorburg",52.069951,4.369563,ChIJs1GkErW3xUcRlVjcvv_4TXs,https://guide.michelin.com/en/hotels-stays/the-hague/central-park-voorburg-13789,https://www.centralparkvoorburg.com/,https://www.centralparkvoorburg.com/hotel/,https://www.google.com/maps/place/?q=place_id:ChIJs1GkErW3xUcRlVjcvv_4TXs,,
,hotel_03,The Dylan,1,Amsterdam,Netherlands,🇳🇱,"Keizersgracht 384, 1016 GA Amsterdam",52.369359,4.884211,ChIJg8bf-sIJxkcRsvcYZBHfZ14,https://guide.michelin.com/en/hotels-stays/amsterdam/the-dylan-amsterdam-17,https://www.dylanamsterdam.com/nl/,https://www.dylanamsterdam.com/nl/reserveren/,https://www.google.com/maps/place/?q=place_id:ChIJg8bf-sIJxkcRsvcYZBHfZ14,,
,hotel_04,Soho House,1,Amsterdam,Netherlands,🇳🇱,"Spuistraat 210, 1012 VT Amsterdam",52.371988,4.889257,ChIJl0yCwlsJxkcRj1RpQF08O-A,https://guide.michelin.com/en/hotels-stays/amsterdam/soho-house-amsterdam-13086,https://www.sohohouse.com/houses/soho-house-amsterdam,https://www.sohohouse.com/bedrooms?location=AMST,https://www.google.com/maps/place/?q=place_id:ChIJl0yCwlsJxkcRj1RpQF08O-A,,
,hotel_05,Van Oys Maastricht Retreat,1,Maastricht,Netherlands,🇳🇱,"Kasteellaan 1, 6245 SB Eijsden",50.796123,5.70613,ChIJPdZWvVHpwEcRh8_YuQ2xWUA,https://guide.michelin.com/en/hotels-stays/maastricht/van-oys-maastricht-retreat-15061,https://www.vanoys.com/,,https://www.google.com/maps/place/?q=place_id:ChIJPdZWvVHpwEcRh8_YuQ2xWUA,,
,hotel_06,Pillows Grand Boutique Hotel Ter Borch,1,Zwolle,Netherlands,🇳🇱,"Stationsweg 9, 8011 CZ Zwolle",52.506718,6.091293,ChIJxQvw8Sjfx0cRf8jFKYSFXtU,https://guide.michelin.com/en/hotels-stays/zwolle/pillows-grand-boutique-hotel-ter-borch-zwolle-8757,https://www.pillowshotels.com/zwolle/,https://booking.eu.guestline.app/IHMGZWO/availability?hotel=IHMGZWO&lng=en,https://www.google.com/maps/place/?q=place_id:ChIJxQvw8Sjfx0cRf8jFKYSFXtU,,
,hotel_07,Château St. Gerlach,1,Valkenburg,Netherlands,🇳🇱,"Joseph Corneli Allee 1, 6301 KK Valkenburg",50.869215,5.799392,ChIJo3PPcifAwEcRNSc5Bxu0raA,https://guide.michelin.com/en/hotels-stays/valkenburg/chateau-st-gerlach-11399,https://www.oostwegelcollection.nl/chateau-st-gerlach/en/,,https://www.google.com/maps/place/?q=place_id:ChIJo3PPcifAwEcRNSc5Bxu0raA,,
,hotel_08,Mooirivier,1,Dalfsen,Netherlands,🇳🇱,"Oude Oever 10, 7722 VE Dalfsen",52.522882,6.330414,ChIJIzQjVm3ix0cRcm4O_GUIRJI,https://guide.michelin.com/en/hotels-stays/dalfsen/mooirivier-9610,https://www.mooirivier.nl/en,,https://www.google.com/maps/place/?q=place_id:ChIJIzQjVm3ix0cRcm4O_GUIRJI,,
,hotel_09,The Craftsmen,1,Amsterdam,Netherlands,🇳🇱,"Singel 83, 1012 VE Amsterdam",52.376267,4.891706,ChIJ5ZfLOMYJxkcRqbJFH0Vl1W0,https://guide.michelin.com/en/hotels-stays/amsterdam/the-craftsmen-14718,https://hotelthecraftsmen.com/,,https://www.google.com/maps/place/?q=place_id:ChIJ5ZfLOMYJxkcRqbJFH0Vl1W0,,
,hotel_10,De Plesman Hotel,1,The Hague,Netherlands,🇳🇱,"Plesmanweg 607, 2597 JG Den Haag",52.099359,4.302545,ChIJf_GCXA63xUcRIptE1ujF0pU,https://guide.michelin.com/en/hotels-stays/the-hague/de-plesman-hotel-the-hague-15198,https://deplesman.com/,,https://www.google.com/maps/place/?q=place_id:ChIJf_GCXA63xUcRIptE1ujF0pU,,
