restaurant_code,guide_year,award_type,award_value
rest_0004,2010,michelin_stars,3
rest_0037,1993,michelin_stars,1
rest_0037,1999,michelin_stars,2
rest_0037,2004,michelin_stars,3
rest_0044,2010,michelin_stars,1
rest_0044,2012,michelin_stars,2
rest_0044,2013,michelin_stars,3
rest_0045,2012,michelin_stars,3
rest_0053,2024,michelin_stars,3
rest_0058,2017,michelin_stars,3
rest_0060,2024,michelin_stars,3
rest_0078,2002,michelin_stars,1
rest_0078,2006,michelin_stars,2
rest_0078,2012,michelin_stars,3
rest_0080,2006,michelin_stars,3
rest_0102,2025,michelin_stars,3
rest_0124,2016,michelin_stars,2
rest_0124,2019,michelin_stars,3
rest_0125,2016,michelin_stars,2
rest_0125,2019,michelin_stars,3
rest_0126,2019,michelin_stars,2
rest_0126,2021,michelin_stars,3
rest_0127,2025,michelin_stars,3
rest_0128,2022,michelin_stars,1
rest_0128,2023,michelin_stars,2
rest_0128,2025,michelin_stars,3
rest_0154,2021,michelin_stars,3
rest_0155,2011,michelin_stars,1
rest_0155,2017,michelin_stars,2
rest_0155,2022,michelin_stars,3
rest_0175,2007,michelin_stars,3
rest_0176,1993,michelin_stars,3
rest_0177,2020,michelin_stars,3
rest_0180,2025,michelin_stars,3
rest_0181,2015,michelin_stars,3
rest_0182,2023,michelin_stars,3
rest_0183,2025,michelin_stars,3
rest_0184,2005,michelin_stars,3
rest_0185,2022,michelin_stars,3
rest_0234,2020,michelin_stars,2
rest_0234,2022,michelin_stars,3
rest_0237,2004,michelin_stars,1
rest_0237,2007,michelin_stars,2
rest_0237,2010,michelin_stars,3
rest_0265,2019,michelin_stars,3
rest_0266,2025,michelin_stars,3
rest_0299,2024,michelin_stars,3
rest_0304,2022,michelin_stars,3
rest_0307,2025,michelin_stars,3
rest_0308,2014,michelin_stars,3
rest_0309,2023,michelin_stars,3
rest_0313,2019,michelin_stars,2
rest_0313,2025,michelin_stars,3
rest_0316,2006,michelin_stars,1
rest_0316,2009,michelin_stars,2
rest_0316,2012,michelin_stars,3
rest_0321,2018,michelin_stars,3
rest_0323,2018,michelin_stars,2
rest_0325,1995,michelin_stars,1
rest_0325,2008,michelin_stars,2
rest_0325,2018,michelin_stars,3
rest_0327,1996,michelin_stars,3
rest_0330,2022,michelin_stars,3
rest_0331,2023,michelin_stars,3
rest_0332,2016,michelin_stars,1
rest_0332,2019,michelin_stars,2
rest_0332,2024,michelin_stars,3
rest_0333,2013,michelin_stars,3
rest_0334,1978,michelin_stars,1
rest_0334,1982,michelin_stars,2
rest_0334,2007,michelin_stars,3
rest_0335,1989,michelin_stars,3
rest_0336,2010,michelin_stars,1
rest_0336,2014,michelin_stars,2
rest_0336,2017,michelin_stars,3
rest_0337,2009,michelin_stars,3
rest_0338,2007,michelin_stars,1
rest_0338,2011,michelin_stars,2
rest_0338,2012,michelin_stars,3
rest_0339,1996,michelin_stars,2
rest_0339,2001,michelin_stars,3
rest_0340,2019,michelin_stars,3
rest_0341,2024,michelin_stars,3
rest_0350,2023,michelin_stars,3
rest_0378,2003,michelin_stars,1
rest_0378,2006,michelin_stars,2
rest_0378,2022,michelin_stars,3
rest_0379,2010,michelin_stars,3
rest_0380,1996,michelin_stars,3
rest_0381,2004,michelin_stars,3
rest_0382,2005,michelin_stars,3
rest_0383,2019,michelin_stars,3
rest_0385,2025,michelin_stars,3
rest_0386,2023,michelin_stars,2
rest_0386,2025,michelin_stars,3
rest_0424,2020,michelin_stars,2
rest_0424,2023,michelin_stars,3
rest_0430,2016,michelin_stars,3
rest_0431,2016,michelin_stars,1
rest_0431,2020,michelin_stars,2
rest_0431,2024,michelin_stars,3
rest_0434,2009,michelin_stars,3
rest_0435,2019,michelin_stars,3
rest_0441,2011,michelin_stars,2
rest_0441,2012,michelin_stars,3
rest_0442,2025,michelin_stars,3
rest_0444,2020,michelin_stars,3
rest_0445,2014,michelin_stars,3
rest_0446,2016,michelin_stars,1
rest_0446,2017,michelin_stars,2
rest_0446,2023,michelin_stars,3
rest_0461,2018,michelin_stars,3
rest_0462,2023,michelin_stars,3
rest_0463,2023,michelin_stars,3
rest_0471,2019,michelin_stars,3
rest_0473,2016,michelin_stars,3
rest_0474,2018,michelin_stars,1
rest_0474,2020,michelin_stars,2
rest_0474,2024,michelin_stars,3
rest_0485,2010,michelin_stars,3
