id,restaurant_code,name,michelin_stars,cuisine,city,country,country_flag,address,latitude,longitude,google_place_id,michelin_url,website_url,booking_url,google_maps_url,located_in_hotel,property_name,worlds_50_best_rank,worlds_50_best_year
,rest_0001,Aan de Poel,2,French Contemporary,Amstelveen,Netherlands,🇳🇱,"Handweg 1, 1185 TS Amstelveen",52.3133,4.8494,ChIJa7QlyS3gxUcRxUOJ_-EIV1M,https://guide.michelin.com/nl/nl/north-holland/amstelveen/restaurant/aan-de-poel,,,https://www.google.com/maps/place/?q=place_id:ChIJa7QlyS3gxUcRxUOJ_-EIV1M,False,,,
,rest_0002,ABAC,3,Catalan Creative,Barcelona,Spain,🇪🇸,"Av. del Tibidabo 1, 08022 Barcelona",41.4145,2.1344,ChIJjZxWjQ-YpBIR_xbBOD9lZ1k,https://guide.michelin.com/nl/nl/catalonia/barcelona/restaurant/abac,,,https://www.google.com/maps/place/?q=place_id:ChIJjZxWjQ-YpBIR_xbBOD9lZ1k,True,,,
,rest_0003,Al Gatto Verde,1,Italian,Modena,Italy,🇮🇹,"Via Canaletto 216, 41122 Modena",44.6423,10.9254,ChIJYQwpBIXnf0cRekgb5iH_HMM,https://guide.michelin.com/nl/nl/emilia-romagna/modena/restaurant/al-gatto-verde,,,https://www.google.com/maps/place/?q=place_id:ChIJYQwpBIXnf0cRekgb5iH_HMM,False,,,
,rest_0004,Alain Ducasse at The Dorchester,3,French,London,United Kingdom,🇬🇧,"53 Park Lane, London W1K 1QA",51.5074,-0.1507,ChIJDaP2Ky4FdkgR7VspCxVWiDk,https://guide.michelin.com/nl/nl/greater-london/london/restaurant/alain-ducasse-at-the-dorchester,https://www.alainducasse-dorchester.com/,,https://www.google.com/maps/place/?q=place_id:ChIJDaP2Ky4FdkgR7VspCxVWiDk,False,,,
,rest_0005,Alma,1,Dutch Contemporary,Oisterwijk,Netherlands,🇳🇱,"Lind 28, 5061 HT Oisterwijk",51.5871,5.1928,ChIJoXKlUIvrxkcRgzALON9wHH0,https://guide.michelin.com/nl/nl/north-brabant/oisterwijk/restaurant/alma,,,https://www.google.com/maps/place/?q=place_id:ChIJoXKlUIvrxkcRgzALON9wHH0,False,,,
,rest_0006,Alto,1,Italian Contemporary,Fiorano Modenese,Italy,🇮🇹,"Via Statale Sud 1, 41042 Fiorano Modenese",44.5374,10.8107,ChIJ-TAkCMbjf0cRypwdP0VB2C4,https://guide.michelin.com/nl/nl/emilia-romagna/fiorano-modenese/restaurant/alto,,,https://www.google.com/maps/place/?q=place_id:ChIJ-TAkCMbjf0cRypwdP0VB2C4,False,,,
,rest_0007,Amarone,1,Italian,Rotterdam,Netherlands,🇳🇱,"Meent 72, 3011 JN Rotterdam",51.9227,4.4834,ChIJkx_Eb1kzxEcR_D2VB5OPkHk,https://guide.michelin.com/nl/nl/south-holland/rotterdam/restaurant/amarone,,,https://www.google.com/maps/place/?q=place_id:ChIJkx_Eb1kzxEcR_D2VB5OPkHk,False,,,
,rest_0008,Anne,1,French Contemporary,Paris,France,🇫🇷,"91 Rue du Cherche-Midi, 75006 Paris",48.8461,2.3262,ChIJGZbt11dv5kcRxGUcs6VnlSc,https://guide.michelin.com/nl/nl/ile-de-france/paris/restaurant/anne,,,https://www.google.com/maps/place/?q=place_id:ChIJGZbt11dv5kcRxGUcs6VnlSc,False,,,
,rest_0009,Apicius,1,French,Castricum,Netherlands,🇳🇱,"Dorpsstraat 67, 1901 EC Castricum",52.5488,4.6592,ChIJexaK7g33xUcR4UZCZiegd8A,https://guide.michelin.com/nl/nl/north-holland/castricum/restaurant/apicius,,,https://www.google.com/maps/place/?q=place_id:ChIJexaK7g33xUcR4UZCZiegd8A,False,,,
,rest_0010,Araka,2,Turkish Contemporary,Istanbul,Turkey,🇹🇷,"Tomtom Kaptan Sokak 18, 34433 Istanbul",41.0324,28.9791,ChIJ8yRKQxPLyhQRQx-2zdPdWa0,https://guide.michelin.com/nl/nl/istanbul/istanbul/restaurant/araka,,,https://www.google.com/maps/place/?q=place_id:ChIJ8yRKQxPLyhQRQx-2zdPdWa0,False,,,
,rest_0011,Au Coin des Bons Enfants,1,French,Maastricht,Netherlands,🇳🇱,"Ezelmarkt 4, 6211 LJ Maastricht",50.85,5.6969,ChIJTci4kLDpwEcRZ0iQdsjlsKU,https://guide.michelin.com/nl/nl/limburg/maastricht/restaurant/au-coin-des-bons-enfants,,,https://www.google.com/maps/place/?q=place_id:ChIJTci4kLDpwEcRZ0iQdsjlsKU,False,,,
,rest_0012,Beluga loves you,1,French Contemporary,Maastricht,Netherlands,🇳🇱,"Plein 1992 12, 6221 CJ Maastricht",50.8504,5.7007,ChIJfeXZx73pwEcRysmFc58mnOI,https://guide.michelin.com/nl/nl/limburg/maastricht/restaurant/beluga-loves-you,,,https://www.google.com/maps/place/?q=place_id:ChIJfeXZx73pwEcRysmFc58mnOI,False,,,
,rest_0013,Bistro de la Mer,1,Seafood,Amsterdam,Netherlands,🇳🇱,"Spuistraat 294, 1012 VS Amsterdam",52.3724,4.8893,ChIJFX-OmpQJxkcRcF18TZlXxsw,https://guide.michelin.com/nl/nl/north-holland/amsterdam/restaurant/bistro-de-la-mer,,,https://www.google.com/maps/place/?q=place_id:ChIJFX-OmpQJxkcRcF18TZlXxsw,False,,,
,rest_0014,Bolenius Rembrandtpark,1,Dutch Sustainable,Amsterdam,Netherlands,🇳🇱,"George Gershwinlaan 30, 1082 MT Amsterdam",52.3385,4.8463,ChIJK-siJMzjxUcRiU3bQ-0LbCU,https://guide.michelin.com/nl/nl/north-holland/amsterdam/restaurant/bolenius-rembrandtpark,,,https://www.google.com/maps/place/?q=place_id:ChIJK-siJMzjxUcRiU3bQ-0LbCU,False,,,
,rest_0015,Bottiglieria 1881,2,European Contemporary,Krakow,Poland,🇵🇱,"ul. Bocheńska 5, 31-061 Kraków",50.0595,19.9431,ChIJOzG7EEJbFkcRa-v6voT78XY,https://guide.michelin.com/nl/nl/lesser-poland/krakow/restaurant/bottiglieria-1881,,,https://www.google.com/maps/place/?q=place_id:ChIJOzG7EEJbFkcRa-v6voT78XY,False,,,
,rest_0016,Bougainville,1,French Contemporary,Amsterdam,Netherlands,🇳🇱,"Dam 9, 1012 JS Amsterdam",52.3731,4.8952,ChIJn8V5MccJxkcRHVZpXXoRPps,https://guide.michelin.com/nl/nl/north-holland/amsterdam/restaurant/bougainville,,,https://www.google.com/maps/place/?q=place_id:ChIJn8V5MccJxkcRHVZpXXoRPps,True,,,
,rest_0017,Brass Boer Thuis,1,Dutch Creative,Zwolle,Netherlands,🇳🇱,"Melkmarkt 9, 8011 MR Zwolle",52.5078,6.0958,ChIJ6bRBnu3fx0cRfnI-FYCsDNU,https://guide.michelin.com/nl/nl/overijssel/zwolle/restaurant/brass-boer-thuis,,,https://www.google.com/maps/place/?q=place_id:ChIJ6bRBnu3fx0cRfnI-FYCsDNU,False,,,
,rest_0018,Brut172,2,Contemporary,Reijmerstok,Netherlands,🇳🇱,"Reijmerstokkerdorpsstraat 143, 6274 NK Reijmerstok",50.796661,5.836407,ChIJS-bORZqVwEcRfOqTN1Km-yo,https://guide.michelin.com/us/en/limburg/reijmerstok/restaurant/brut172,https://www.brut172.com/,,https://www.google.com/maps/place/?q=place_id:ChIJS-bORZqVwEcRfOqTN1Km-yo,False,,,
,rest_0019,Calla's,1,French Contemporary,The Hague,Netherlands,🇳🇱,"Laan van Roos en Doorn 51, 2514 BC The Hague",52.0818,4.2892,ChIJX7aGbzm3xUcROXbLVicgbj4,https://guide.michelin.com/nl/nl/south-holland/the-hague/restaurant/callas,,,https://www.google.com/maps/place/?q=place_id:ChIJX7aGbzm3xUcROXbLVicgbj4,False,,,
,rest_0020,Cavallino,1,Italian,Maranello,Italy,🇮🇹,"Via Abetone Inf. 1, 41053 Maranello",44.5268,10.8689,ChIJDcJQWafjf0cR2gLItJnQmMw,https://guide.michelin.com/nl/nl/emilia-romagna/maranello/restaurant/cavallino,,,https://www.google.com/maps/place/?q=place_id:ChIJDcJQWafjf0cR2gLItJnQmMw,False,,,
,rest_0021,Central Park,1,French Contemporary,Voorburg,Netherlands,🇳🇱,"Oosteinde 14, 2271 EH Voorburg",52.059,4.3463,ChIJs1GkErW3xUcRlVjcvv_4TXs,https://guide.michelin.com/us/en/zuid-holland/voorburg/restaurant/central-park,https://www.centralparkvoorburg.com/restaurant/,,https://www.google.com/maps/place/?q=place_id:ChIJs1GkErW3xUcRlVjcvv_4TXs,True,,,
,rest_0022,Chateau Neercanne,1,French Classic,Maastricht,Netherlands,🇳🇱,"Von Dopfflaan 10, 6213 NG Maastricht",50.828,5.6882,ChIJueerN-LowEcRt2mMhYhmkvk,https://guide.michelin.com/nl/nl/limburg/maastricht/restaurant/chateau-neercanne,https://www.oostwegelcollection.nl/chateau-neercanne/en/restaurants/chateau-neercanne,,https://www.google.com/maps/place/?q=place_id:ChIJueerN-LowEcRt2mMhYhmkvk,True,,,
