name,michelin_stars,cuisine,city,country,country_code,country_flag,latitude,longitude,description,price_range,michelin_url,website_url,category
"De Librije",3,"Contemporary Dutch","Zwolle","Netherlands","NL","🇳🇱",52.5068,6.0830,"","€€€€","https://guide.michelin.com/nl/en/overijssel/zwolle/restaurant/de-librije","https://librije.com","star"
"Restaurant De Leest",3,"French Contemporary","Vaassen","Netherlands","NL","🇳🇱",52.2833,5.9667,"","€€€€","https://guide.michelin.com/nl/en/gelderland/vaassen/restaurant/de-leest","https://restaurantdeleest.nl","star"
"Ciel Bleu",2,"Contemporary French","Amsterdam","Netherlands","NL","🇳🇱",52.3556,4.9039,"","€€€€","https://guide.michelin.com/nl/en/noord-holland/amsterdam/restaurant/ciel-bleu","https://okura.nl/ciel-bleu","star"
"Inter Scaldes",2,"Contemporary French","Kruiningen","Netherlands","NL","🇳🇱",51.4561,3.9744,"","€€€€","https://guide.michelin.com/nl/en/zeeland/kruiningen/restaurant/inter-scaldes","https://interscaldes.nl","star"
"Vinkeles",1,"French Contemporary","Amsterdam","Netherlands","NL","🇳🇱",52.3661,4.8878,"","€€€€","https://guide.michelin.com/nl/en/noord-holland/amsterdam/restaurant/vinkeles","https://vinkeles.com","star"
"Bord'Eau",1,"French","Amsterdam","Netherlands","NL","🇳🇱",52.3601,4.9072,"","€€€€","https://guide.michelin.com/nl/en/noord-holland/amsterdam/restaurant/bord-eau","https://bordeau.nl","star"
"Hof van Cleve",3,"Creative Flemish","Kruishoutem","Belgium","BE","🇧🇪",50.9173,3.5161,"","€€€€","https://guide.michelin.com/be/en/oost-vlaanderen/kruishoutem/restaurant/hof-van-cleve","https://hofvancleve.com","star"
"Zilte",3,"Creative Contemporary","Antwerp","Belgium","BE","🇧🇪",51.2194,4.4025,"","€€€€","https://guide.michelin.com/be/en/antwerpen/antwerpen/restaurant/zilte","https://zilte.be","star"
"The Jane",2,"Creative Contemporary","Antwerp","Belgium","BE","🇧🇪",51.2012,4.4140,"","€€€€","https://guide.michelin.com/be/en/antwerpen/antwerpen/restaurant/the-jane","https://thejaneantwerp.com","star"
"Comme Chez Soi",2,"Classic French Belgian","Brussels","Belgium","BE","🇧🇪",50.8424,4.3507,"","€€€€","https://guide.michelin.com/be/en/bruxelles-capitale/bruxelles/restaurant/comme-chez-soi","https://commechezsoi.be","star"
"La Villa in the Sky",2,"Contemporary Belgian","Brussels","Belgium","BE","🇧🇪",50.8448,4.3517,"","€€€€","https://guide.michelin.com/be/en/bruxelles-capitale/bruxelles/restaurant/la-villa-in-the-sky","https://lavillaintheksy.be","star"
"Mirazur",3,"Contemporary French","Menton","France","FR","🇫🇷",43.7769,7.5013,"","€€€€","https://guide.michelin.com/fr/en/provence-alpes-cote-dazur/menton/restaurant/mirazur","https://mirazur.fr","star"
"L'Arpege",3,"Vegetable-forward French","Paris","France","FR","🇫🇷",48.8591,2.3169,"","€€€€","https://guide.michelin.com/fr/en/ile-de-france/paris/restaurant/l-arpege","https://alain-passard.com","star"
"Guy Savoy",3,"Classic French","Paris","France","FR","🇫🇷",48.8619,2.3355,"","€€€€","https://guide.michelin.com/fr/en/ile-de-france/paris/restaurant/guy-savoy","https://guysavoy.com","star"
"Alain Ducasse au Plaza Athenee",3,"Naturalist French","Paris","France","FR","🇫🇷",48.8669,2.3018,"","€€€€","https://guide.michelin.com/fr/en/ile-de-france/paris/restaurant/alain-ducasse-au-plaza-athenee","https://alain-ducasse.com","star"
"Septime",1,"Modern French","Paris","France","FR","🇫🇷",48.8529,2.3793,"","€€€","https://guide.michelin.com/fr/en/ile-de-france/paris/restaurant/septime","https://septime-charonne.fr","star"
"Le Cinq",3,"Classic French","Paris","France","FR","🇫🇷",48.8720,2.3068,"","€€€€","https://guide.michelin.com/fr/en/ile-de-france/paris/restaurant/le-cinq","https://fourseasons.com/paris/dining/restaurants/le_cinq","star"
