item,entity_type,code,name,city,country,current_award,in_database,what_to_check,how_to_resolve,action_id,priority_bucket,status
W001,hotel,,Widder Hotel,,Switzerland,unknown,NO,"Michelin Key count (1, 2 or 3)",Place data is verified; only the Key count is missing,MA-014,2 before launch,Two Keys confirmed - place data outstanding (MA-071)
W002,hotel,,The Dolder Grand,,Switzerland,unknown,NO,"Michelin Key count (1, 2 or 3)",Place data is verified; only the Key count is missing,MA-014,2 before launch,Two Keys confirmed - place data outstanding (MA-071)
W003,hotel,,Hotel Giardino Mountain,,Switzerland,unknown,NO,"Michelin Key count (1, 2 or 3)",Place data is verified; only the Key count is missing,MA-014,2 before launch,Open
W004,hotel,,Casa Caminada,,Switzerland,unknown,NO,"Michelin Key count (1, 2 or 3)",Place data is verified; only the Key count is missing,MA-014,2 before launch,Open
W005,hotel,,Einstein St. Gallen,,Switzerland,unknown,NO,"Michelin Key count (1, 2 or 3)",Place data is verified; only the Key count is missing,MA-014,2 before launch,Open
W006,hotel,,Park Gstaad,,Switzerland,unknown,NO,"Michelin Key count (1, 2 or 3)",Place data is verified; only the Key count is missing,MA-014,2 before launch,Open
W007,hotel,,2 unidentified Two-Key hotels,,Switzerland,2 Keys,NO,Which two hotels complete the Swiss Two-Key tier,MICHELIN states 32; 30 are loaded. Probably among the six above,MA-015,2 before launch,Identified as Widder Hotel and The Dolder Grand
W008,hotel,,Atami Izusan Karaku,Atami,Japan,1 Key,NO,Correct Google Place ID,"Lookup returned a Tokyu Harvest Club property, or the museum building for Benesse",MA-054,2 before launch,Open
W009,hotel,,Kinugawa Keisui,Nikko,Japan,1 Key,NO,Correct Google Place ID,"Lookup returned a Tokyu Harvest Club property, or the museum building for Benesse",MA-054,2 before launch,Open
W010,hotel,,Benesse House,Naoshima,Japan,2 Keys,NO,Correct Google Place ID,"Lookup returned a Tokyu Harvest Club property, or the museum building for Benesse",MA-054,2 before launch,Open
W011,hotel,hotel_116,Seesteg Norderney,Norderney,Germany,2 Key,YES,Does google_place_id point at the hotel or at its restaurant/spa,Open the Place ID in Google Maps and confirm it is the accommodation,MA-048,2 before launch,Open
W012,hotel,hotel_136,Walch's Rote Wand Gourmet Hotel,Lech am Arlberg,Austria,1 Key,YES,Does google_place_id point at the hotel or at its restaurant/spa,Open the Place ID in Google Maps and confirm it is the accommodation,MA-048,2 before launch,Open
