name,country,no1_years,restaurant_code,catalogue_status,note,source
El Bulli,Spain,"2002, 2006-2009",rest_pending,NOT IN CATALOGUE,permanently closed 2011,"theworlds50best.com Best of the Best, retrieved 2026-07-28"
The French Laundry,United States,2003-2004,rest_0735,"in catalogue, 3 stars",,"theworlds50best.com Best of the Best, retrieved 2026-07-28"
The Fat Duck,United Kingdom,2005,rest_pending,NOT IN CATALOGUE,holds 3 MICHELIN stars; UK coverage incomplete,"theworlds50best.com Best of the Best, retrieved 2026-07-28"
Noma,Denmark,"2010-2012, 2014, 2021",rest_pending,NOT IN CATALOGUE,left the MICHELIN guide,"theworlds50best.com Best of the Best, retrieved 2026-07-28"
El Celler de Can Roca,Spain,"2013, 2015",rest_0337,"in catalogue, 3 stars",,"theworlds50best.com Best of the Best, retrieved 2026-07-28"
Osteria Francescana,Italy,"2016, 2018",rest_0078,"in catalogue, 3 stars",,"theworlds50best.com Best of the Best, retrieved 2026-07-28"
Eleven Madison Park,United States,2017,rest_0045,"in catalogue, 3 stars",,"theworlds50best.com Best of the Best, retrieved 2026-07-28"
Mirazur,France,2019,rest_pending,NOT IN CATALOGUE,holds 3 MICHELIN stars; France coverage blocked,"theworlds50best.com Best of the Best, retrieved 2026-07-28"
Geranium,Denmark,2022,rest_0473,"in catalogue, 3 stars",,"theworlds50best.com Best of the Best, retrieved 2026-07-28"
Central,Peru,2023,rest_pending,NOT IN CATALOGUE,no MICHELIN guide in Peru; qualifies only under the hall-of-fame clause,"theworlds50best.com Best of the Best, retrieved 2026-07-28"
Disfrutar,Spain,2024,rest_0331,"in catalogue, 3 stars",,"theworlds50best.com Best of the Best, retrieved 2026-07-28"
