restaurant_code,year,rank,list_type
rest_0037,2010,37,top_50
rest_0037,2011,46,top_50
rest_0037,2012,33,top_50
rest_0037,2013,57,extended_51_100
rest_0037,2014,29,top_50
rest_0037,2015,71,extended_51_100
rest_0037,2016,38,top_50
rest_0037,2017,34,top_50
rest_0037,2018,51,extended_51_100
rest_0037,2019,46,top_50
rest_0037,2021,69,extended_51_100
rest_0044,2014,94,extended_51_100
rest_0044,2015,59,extended_51_100
rest_0044,2016,79,extended_51_100
rest_0044,2018,96,extended_51_100
rest_0044,2019,75,extended_51_100
rest_0044,2021,20,top_50
rest_0044,2022,4,top_50
rest_0044,2023,3,top_50
rest_0044,2024,4,top_50
rest_0045,2010,50,top_50
rest_0045,2011,24,top_50
rest_0045,2012,10,top_50
rest_0045,2013,5,top_50
rest_0045,2014,4,top_50
rest_0045,2015,5,top_50
rest_0045,2016,3,top_50
rest_0045,2017,1,top_50
rest_0045,2018,4,top_50
rest_0059,2006,32,top_50
rest_0059,2007,26,top_50
rest_0059,2008,20,top_50
rest_0059,2009,15,top_50
rest_0059,2010,15,top_50
rest_0059,2011,18,top_50
rest_0059,2012,19,top_50
rest_0059,2013,19,top_50
rest_0059,2014,21,top_50
rest_0059,2015,18,top_50
rest_0059,2016,24,top_50
rest_0059,2017,17,top_50
rest_0059,2018,26,top_50
rest_0059,2019,36,top_50
rest_0059,2021,44,top_50
rest_0059,2022,44,top_50
rest_0059,2023,44,top_50
rest_0059,2024,71,extended_51_100
rest_0071,2019,110,extended_51_100
rest_0071,2023,63,extended_51_100
rest_0071,2024,91,extended_51_100
rest_0078,2009,13,top_50
rest_0078,2010,6,top_50
rest_0078,2011,4,top_50
rest_0078,2012,5,top_50
rest_0078,2013,3,top_50
rest_0078,2014,3,top_50
rest_0078,2015,2,top_50
rest_0078,2016,1,top_50
rest_0078,2017,2,top_50
rest_0078,2018,1,top_50
rest_0080,2005,7,top_50
rest_0080,2006,8,top_50
rest_0080,2007,9,top_50
rest_0080,2008,6,top_50
rest_0080,2009,6,top_50
rest_0080,2010,10,top_50
rest_0080,2011,10,top_50
rest_0080,2012,6,top_50
rest_0080,2013,11,top_50
rest_0080,2014,30,top_50
rest_0080,2015,40,top_50
rest_0080,2016,52,extended_51_100
rest_0080,2018,81,extended_51_100
rest_0080,2019,115,extended_51_100
rest_0112,2023,66,extended_51_100
rest_0124,2013,81,extended_51_100
rest_0124,2014,86,extended_51_100
rest_0125,2017,86,extended_51_100
rest_0125,2018,28,top_50
rest_0125,2019,18,top_50
rest_0125,2021,8,top_50
rest_0125,2022,36,top_50
rest_0125,2023,14,top_50
rest_0125,2024,24,top_50
rest_0126,2022,70,extended_51_100
rest_0126,2023,69,extended_51_100
rest_0128,2022,57,extended_51_100
rest_0128,2023,11,top_50
rest_0128,2024,13,top_50
rest_0132,2015,35,top_50
rest_0132,2016,12,top_50
rest_0132,2017,22,top_50
rest_0132,2018,11,top_50
rest_0132,2019,24,top_50
rest_0132,2021,27,top_50
rest_0132,2022,9,top_50
rest_0132,2023,9,top_50
rest_0132,2024,7,top_50
rest_0133,2011,49,top_50
rest_0133,2012,36,top_50
rest_0133,2013,17,top_50
rest_0133,2014,20,top_50
rest_0133,2015,16,top_50
rest_0133,2016,25,top_50
rest_0133,2017,20,top_50
rest_0133,2018,13,top_50
rest_0133,2019,12,top_50
rest_0133,2021,9,top_50
rest_0133,2022,5,top_50
rest_0133,2023,13,top_50
rest_0133,2024,33,top_50
rest_0134,2015,44,top_50
rest_0134,2016,13,top_50
rest_0134,2017,8,top_50
rest_0134,2018,7,top_50
rest_0134,2019,10,top_50
rest_0134,2021,7,top_50
rest_0134,2022,11,top_50
rest_0134,2023,6,top_50
rest_0134,2024,5,top_50
rest_0135,2021,95,extended_51_100
rest_0135,2022,68,extended_51_100
rest_0135,2023,28,top_50
rest_0135,2024,16,top_50
rest_0136,2018,55,extended_51_100
rest_0136,2019,34,top_50
rest_0136,2021,13,top_50
rest_0136,2022,14,top_50
rest_0136,2023,19,top_50
rest_0136,2024,10,top_50
rest_0137,2019,41,top_50
rest_0137,2021,10,top_50
rest_0137,2022,24,top_50
rest_0137,2023,50,top_50
rest_0137,2024,26,top_50
rest_0138,2014,91,extended_51_100
rest_0138,2015,42,top_50
rest_0138,2016,36,top_50
rest_0138,2017,42,top_50
rest_0138,2018,27,top_50
rest_0138,2019,26,top_50
rest_0138,2021,38,top_50
rest_0138,2022,43,top_50
rest_0138,2023,29,top_50
rest_0138,2024,29,top_50
rest_0139,2023,59,extended_51_100
rest_0139,2024,55,extended_51_100
rest_0140,2016,64,extended_51_100
rest_0140,2017,76,extended_51_100
rest_0140,2018,100,extended_51_100
rest_0140,2019,74,extended_51_100
rest_0140,2021,85,extended_51_100
rest_0140,2022,78,extended_51_100
rest_0140,2023,58,extended_51_100
rest_0140,2024,58,extended_51_100
rest_0141,2022,32,top_50
rest_0141,2023,47,top_50
rest_0141,2024,41,top_50
rest_0156,2024,63,extended_51_100
rest_0165,2006,23,top_50
rest_0165,2019,43,top_50
rest_0182,2024,84,extended_51_100
rest_0186,2010,34,top_50
rest_0186,2011,25,top_50
rest_0186,2012,22,top_50
rest_0186,2013,30,top_50
rest_0186,2014,28,top_50
rest_0186,2015,33,top_50
rest_0186,2016,63,extended_51_100
rest_0186,2017,70,extended_51_100
rest_0186,2018,73,extended_51_100
rest_0186,2019,72,extended_51_100
rest_0189,2008,34,top_50
rest_0189,2009,25,top_50
rest_0189,2010,22,top_50
rest_0189,2011,21,top_50
rest_0189,2012,23,top_50
rest_0189,2013,10,top_50
